id,dicc_especie_id,created_at,updated_at
33,361,2011-05-20 06:17:52.689022,2011-05-20 06:17:52.689022
34,364,2011-05-20 06:17:53.953232,2011-05-20 06:17:53.953232
35,380,2011-05-20 06:17:55.219474,2011-05-20 06:17:55.219474
36,373,2011-05-20 06:17:56.797638,2011-05-20 06:17:56.797638
37,371,2011-05-20 06:17:58.116842,2011-05-20 06:17:58.116842
38,375,2011-05-20 06:17:59.383418,2011-05-20 06:17:59.383418
39,377,2011-05-20 06:18:00.650545,2011-05-20 06:18:00.650545
40,386,2011-05-20 06:18:01.917754,2011-05-20 06:18:01.917754
41,392,2011-05-20 06:18:03.183027,2011-05-20 06:18:03.183027
42,402,2011-05-20 06:18:05.386184,2011-05-20 06:18:05.386184
43,405,2011-05-20 06:18:06.96856,2011-05-20 06:18:06.96856
44,406,2011-05-20 06:18:08.233636,2011-05-20 06:18:08.233636
45,416,2011-05-20 06:18:09.813842,2011-05-20 06:18:09.813842
46,419,2011-05-20 06:18:11.39325,2011-05-20 06:18:11.39325
48,431,2011-05-20 06:18:13.930237,2011-05-20 06:18:13.930237
49,433,2011-05-20 06:18:15.196909,2011-05-20 06:18:15.196909
50,436,2011-05-20 06:18:16.465078,2011-05-20 06:18:16.465078
51,437,2011-05-20 06:18:17.731943,2011-05-20 06:18:17.731943
52,440,2011-05-20 06:18:19.001122,2011-05-20 06:18:19.001122
53,442,2011-05-20 06:18:20.268688,2011-05-20 06:18:20.268688
54,443,2011-05-20 06:18:21.535399,2011-05-20 06:18:21.535399
55,446,2011-05-20 06:18:22.802777,2011-05-20 06:18:22.802777
56,454,2011-05-20 06:18:24.066971,2011-05-20 06:18:24.066971
57,452,2011-05-20 06:18:25.384975,2011-05-20 06:18:25.384975
58,459,2011-05-20 06:18:26.653604,2011-05-20 06:18:26.653604
59,464,2011-05-20 06:18:27.923365,2011-05-20 06:18:27.923365
60,465,2011-05-20 06:18:29.191125,2011-05-20 06:18:29.191125
61,466,2011-05-20 06:18:30.461055,2011-05-20 06:18:30.461055
62,474,2011-05-20 06:18:31.725344,2011-05-20 06:18:31.725344
63,731,2011-05-20 06:18:32.998067,2011-05-20 06:18:32.998067
64,747,2011-05-20 06:18:34.268181,2011-05-20 06:18:34.268181
65,796,2011-05-20 06:18:35.535328,2011-05-20 06:18:35.535328
66,806,2011-05-20 06:18:36.802943,2011-05-20 06:18:36.802943
67,808,2011-05-20 06:18:38.382611,2011-05-20 06:18:38.382611
68,831,2011-05-20 06:18:39.652914,2011-05-20 06:18:39.652914
69,844,2011-05-20 06:18:42.084519,2011-05-20 06:18:42.084519
70,851,2011-05-20 06:18:43.349989,2011-05-20 06:18:43.349989
71,854,2011-05-20 06:18:44.616034,2011-05-20 06:18:44.616034
72,858,2011-05-20 06:18:45.885711,2011-05-20 06:18:45.885711
73,447,2011-05-20 06:18:48.31356,2011-05-20 06:18:48.31356
74,448,2011-05-20 06:18:49.58533,2011-05-20 06:18:49.58533
75,412,2011-09-13 11:24:21.125059,2011-09-13 11:24:21.125059
76,823,2011-09-13 11:37:42.967851,2011-09-13 11:37:42.967851
47,426,2011-05-20 06:18:12.663852,2011-09-13 12:01:43.820976
77,700,2011-09-13 12:35:41.228594,2011-09-13 12:35:41.228594
78,699,2011-09-23 11:28:13.56366,2011-09-23 11:28:13.56366
79,801,2011-09-29 11:22:00.23807,2011-09-29 11:22:00.23807
80,317,2011-09-29 11:44:10.752676,2011-09-29 11:44:10.752676
81,279,2011-09-29 11:52:37.356797,2011-09-29 11:52:37.356797
82,349,2011-10-04 10:52:22.807073,2011-10-04 10:52:22.807073
83,288,2011-10-04 11:26:33.110561,2011-10-04 11:26:33.110561
84,420,2011-10-04 11:30:39.722581,2011-10-04 11:30:39.722581
85,259,2011-10-04 11:38:19.914095,2011-10-04 11:38:19.914095
86,445,2011-10-04 11:40:32.351561,2011-10-04 11:40:32.351561
87,268,2011-10-05 06:28:09.770017,2011-10-05 06:28:09.770017
88,324,2011-10-05 08:13:38.869227,2011-10-05 08:13:38.869227
89,326,2011-10-05 10:10:49.242735,2011-10-05 10:10:49.242735
90,298,2011-10-20 11:11:02.34874,2011-10-20 11:11:02.34874
96,238,2014-05-20 13:44:18.245522,2014-05-20 13:44:18.245522
97,753,2014-05-20 13:44:40.504682,2014-05-20 13:44:40.504682
98,463,2014-05-20 13:45:25.785925,2014-05-20 13:45:25.785925
99,456,2018-03-01 11:05:59.543452,2018-03-01 11:05:59.543452
