id,dicc_especie_id,created_at,updated_at
2,24604,2011-05-20 06:17:02.322895,2011-05-20 06:17:02.322895
3,234,2011-05-20 06:17:05.717326,2011-05-20 06:17:05.717326
4,236,2011-05-20 06:17:07.920461,2011-05-20 06:17:07.920461
5,239,2011-05-20 06:17:09.815525,2011-05-20 06:17:09.815525
6,261,2011-05-20 06:17:11.711001,2011-05-20 06:17:11.711001
7,264,2011-05-20 06:17:12.977715,2011-05-20 06:17:12.977715
8,269,2011-05-20 06:17:14.563004,2011-05-20 06:17:14.563004
9,282,2011-05-20 06:17:16.45424,2011-05-20 06:17:16.45424
10,285,2011-05-20 06:17:17.72,2011-05-20 06:17:17.72
11,286,2011-05-20 06:17:19.615398,2011-05-20 06:17:19.615398
12,289,2011-05-20 06:17:21.820026,2011-05-20 06:17:21.820026
13,290,2011-05-20 06:17:23.089723,2011-05-20 06:17:23.089723
14,291,2011-05-20 06:17:24.355975,2011-05-20 06:17:24.355975
15,292,2011-05-20 06:17:25.622035,2011-05-20 06:17:25.622035
16,293,2011-05-20 06:17:27.198564,2011-05-20 06:17:27.198564
17,294,2011-05-20 06:17:28.463106,2011-05-20 06:17:28.463106
18,296,2011-05-20 06:17:29.727596,2011-05-20 06:17:29.727596
19,303,2011-05-20 06:17:32.201885,2011-05-20 06:17:32.201885
20,304,2011-05-20 06:17:34.741468,2011-05-20 06:17:34.741468
21,306,2011-05-20 06:17:36.010566,2011-05-20 06:17:36.010566
22,307,2011-05-20 06:17:38.438594,2011-05-20 06:17:38.438594
23,309,2011-05-20 06:17:39.705219,2011-05-20 06:17:39.705219
24,310,2011-05-20 06:17:40.971074,2011-05-20 06:17:40.971074
25,314,2011-05-20 06:17:42.237047,2011-05-20 06:17:42.237047
26,318,2011-05-20 06:17:43.503456,2011-05-20 06:17:43.503456
27,320,2011-05-20 06:17:44.773218,2011-05-20 06:17:44.773218
28,321,2011-05-20 06:17:46.038554,2011-05-20 06:17:46.038554
29,323,2011-05-20 06:17:47.615918,2011-05-20 06:17:47.615918
30,347,2011-05-20 06:17:48.883132,2011-05-20 06:17:48.883132
31,350,2011-05-20 06:17:50.152826,2011-05-20 06:17:50.152826
32,353,2011-05-20 06:17:51.422689,2011-05-20 06:17:51.422689
