adis_visita_id,adis_censadore_id
1,1
1,3
2,3
2,3
3,2
4,2
5,2
6,4
6,3
7,2
8,5
9,5
10,3
10,5
11,3
12,3
14,3
14,5
15,5
16,3
17,3
18,3
18,5
19,5
20,2
21,3
21,2
22,3
22,6
23,5
23,4
24,3
25,3
26,3
27,5
28,3
29,3
30,5
30,4
31,5
31,4
32,4
33,3
33,6
34,6
34,4
35,3
36,2
36,3
37,3
38,3
39,3
40,5
41,5
42,2
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,7
53,4
54,5
54,8
55,7
55,8
56,8
56,7
57,6
57,5
58,7
58,5
59,6
59,5
60,8
60,7
61,8
61,7
62,7
62,4
63,6
63,7
64,4
64,7
65,7
66,7
67,2
68,2
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,2
79,8
79,5
80,6
80,7
81,3
82,3
83,8
83,5
84,7
85,8
85,4
86,4
86,5
87,5
88,5
89,5
90,4
90,7
91,3
92,6
92,5
93,8
94,8
95,7
96,6
96,7
97,6
97,5
98,8
98,5
99,3
100,3
101,3
102,3
103,3
104,3
105,8
105,9
106,5
93,5
107,3
108,3
109,3
110,3
111,3
112,3
113,5
113,6
114,6
114,7
115,8
115,6
116,3
116,10
117,10
118,3
119,3
120,10
120,3
121,10
122,10
122,3
123,3
124,10
124,3
125,10
126,3
126,10
127,3
128,5
128,4
129,7
130,7
130,4
131,8
132,5
132,8
133,8
133,7
134,4
134,7
135,4
135,7
136,5
136,8
137,5
137,8
138,7
139,7
139,6
140,8
140,5
141,5
143,3
144,3
145,3
146,3
147,3
148,3
149,3
149,2
150,3
150,10
151,3
152,3
152,10
153,10
154,10
155,10
156,3
157,3
158,3
159,3
160,10
161,3
162,3
163,3
164,10
165,3
165,2
166,10
167,10
168,10
169,10
170,3
171,3
172,3
173,3
174,3
175,3
176,10
177,10
178,10
179,10
179,3
180,10
180,3
181,3
182,3
183,3
184,3
185,3
186,10
186,3
187,3
187,7
188,10
189,10
190,10
191,10
192,10
193,10
194,10
195,10
196,10
197,3
198,10
199,3
200,10
201,10
202,10
203,10
204,10
205,10
206,3
207,10
207,3
208,10
208,3
209,5
209,11
210,6
211,8
212,8
213,7
213,4
214,8
215,4
216,8
217,9
217,8
218,7
219,7
220,7
220,4
221,7
222,7
223,6
223,4
224,5
225,6
226,6
227,5
228,8
228,4
229,7
229,8
230,5
231,4
231,6
232,5
233,4
233,7
234,8
234,5
235,5
236,5
237,7
238,6
239,5
239,8
240,4
240,5
241,5
242,6
242,4
243,12
243,6
244,8
244,6
245,5
245,8
246,13
246,7
247,8
248,5
249,5
250,10
251,4
251,14
252,8
252,5
253,10
253,3
254,10
255,3
256,10
256,3
257,10
258,10
259,10
260,10
261,10
261,3
262,8
262,7
263,4
264,10
265,10
266,10
266,3
267,3
268,3
269,3
270,3
271,10
272,10
273,6
273,5
273,12
274,7
274,15
275,3
276,10
277,3
278,3
279,3
280,10
281,3
282,10
283,10
284,3
285,3
286,3
287,10
287,3
288,10
289,10
290,10
291,10
292,8
292,7
293,7
293,8
294,5
295,6
296,5
297,6
298,6
299,3
300,3
301,10
302,10
303,10
580,10
582,8
583,5
584,8
308,10
308,3
309,8
310,6
311,5
312,8
312,5
313,7
585,7
315,5
315,16
316,4
317,7
318,12
318,6
318,8
319,3
320,10
321,3
322,3
323,4
323,7
324,5
325,5
327,9
327,8
328,8
328,7
329,18
329,3
330,10
331,10
332,10
333,3
333,19
334,10
335,11
335,10
336,3
336,10
337,10
338,10
339,10
340,3
340,10
341,3
341,10
342,5
343,7
344,4
345,7
346,7
347,8
347,21
348,6
349,6
350,8
351,6
352,3
353,22
353,3
354,20
354,3
355,10
356,10
357,10
358,10
359,3
360,5
361,3
362,3
362,10
363,10
363,3
364,3
365,3
366,10
367,10
368,10
369,10
370,10
371,10
372,10
373,10
374,3
375,10
376,10
377,10
378,10
379,10
380,10
381,10
382,10
383,10
384,10
385,10
386,10
387,10
388,10
389,10
390,5
391,7
392,8
392,5
393,5
394,4
395,8
395,5
396,8
397,4
398,4
399,7
400,5
401,7
402,4
403,7
404,8
405,7
406,5
407,4
408,8
408,5
409,5
410,4
411,7
412,8
413,5
2,3
3,2
4,2
5,2
6,4
6,3
7,2
8,5
9,5
10,3
10,5
11,3
12,3
14,3
14,5
15,5
16,3
17,3
18,3
18,5
19,5
20,2
21,3
21,2
22,3
22,6
23,5
23,4
24,3
25,3
26,3
27,5
28,3
29,3
30,5
30,4
31,5
31,4
32,4
33,3
33,6
34,6
34,4
35,3
36,2
36,3
37,3
38,3
39,3
40,5
41,5
42,2
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,7
53,4
54,5
54,8
55,7
55,8
56,8
56,7
57,6
57,5
58,7
58,5
59,6
59,5
60,8
60,7
61,8
61,7
62,7
62,4
63,6
63,7
64,4
64,7
65,7
66,7
67,2
68,2
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,2
79,8
79,5
80,6
80,7
