id,adis_visita_id,adis_especies_dispersante_id,numero,observaciones,distancia,desplazamiento,created_at,updated_at,the_geom,accuracy
2,2,12,1,"",1500,45,2011-05-20 06:31:26.498468,2011-05-20 06:31:26.498468,,
3,2,12,1,"",1830,5,2011-05-20 06:31:26.898462,2011-05-20 06:31:26.898462,,
4,2,12,1,"",2200,5,2011-05-20 06:31:27.210469,2011-05-20 06:31:27.210469,,
5,3,18,1,"",120,5,2011-05-20 06:31:27.523389,2011-05-20 06:31:27.523389,,
6,3,12,1,"",670,35,2011-05-20 06:31:27.837064,2011-05-20 06:31:27.837064,,
7,3,12,1,"",1000,45,2011-05-20 06:31:28.150407,2011-05-20 06:31:28.150407,,
8,3,16,1,"",1250,45,2011-05-20 06:31:28.46336,2011-05-20 06:31:28.46336,,
9,3,16,1,"",2150,5,2011-05-20 06:31:28.776736,2011-05-20 06:31:28.776736,,
10,4,49,1,"",660,35,2011-05-20 06:31:29.090729,2011-05-20 06:31:29.090729,,
11,4,16,1,"",1200,25,2011-05-20 06:31:29.403804,2011-05-20 06:31:29.403804,,
12,4,12,2,"",1280,15,2011-05-20 06:31:29.718307,2011-05-20 06:31:29.718307,,
13,4,16,1,"",1800,5,2011-05-20 06:31:30.032013,2011-05-20 06:31:30.032013,,
14,4,16,1,"",1960,5,2011-05-20 06:31:30.347165,2011-05-20 06:31:30.347165,,
15,5,16,2,"",50,5,2011-05-20 06:31:30.659929,2011-05-20 06:31:30.659929,,
16,5,49,1,"",100,5,2011-05-20 06:31:30.972295,2011-05-20 06:31:30.972295,,
17,5,49,1,"",105,5,2011-05-20 06:31:31.285345,2011-05-20 06:31:31.285345,,
18,5,16,1,"",430,5,2011-05-20 06:31:31.598722,2011-05-20 06:31:31.598722,,
19,5,16,1,"",1200,5,2011-05-20 06:31:31.912437,2011-05-20 06:31:31.912437,,
20,5,12,1,"",1200,5,2011-05-20 06:31:32.225518,2011-05-20 06:31:32.225518,,
21,5,16,1,"",1600,25,2011-05-20 06:31:32.53816,2011-05-20 06:31:32.53816,,
22,5,49,1,"",1880,5,2011-05-20 06:31:32.852023,2011-05-20 06:31:32.852023,,
23,5,49,1,"",2060,5,2011-05-20 06:31:33.164949,2011-05-20 06:31:33.164949,,
24,6,18,1,"",130,5,2011-05-20 06:31:33.479206,2011-05-20 06:31:33.479206,,
25,6,18,1,"",250,5,2011-05-20 06:31:33.793264,2011-05-20 06:31:33.793264,,
26,6,16,1,"",250,15,2011-05-20 06:31:34.108186,2011-05-20 06:31:34.108186,,
27,6,16,1,"",290,15,2011-05-20 06:31:34.421937,2011-05-20 06:31:34.421937,,
28,6,16,1,"",400,5,2011-05-20 06:31:34.73639,2011-05-20 06:31:34.73639,,
29,6,18,1,"",410,5,2011-05-20 06:31:35.049539,2011-05-20 06:31:35.049539,,
30,6,12,1,"",530,45,2011-05-20 06:31:35.363293,2011-05-20 06:31:35.363293,,
31,6,17,1,"",600,25,2011-05-20 06:31:35.676264,2011-05-20 06:31:35.676264,,
32,6,16,1,"",620,5,2011-05-20 06:31:35.991757,2011-05-20 06:31:35.991757,,
33,6,18,1,"",625,5,2011-05-20 06:31:36.307963,2011-05-20 06:31:36.307963,,
34,6,18,1,"",950,5,2011-05-20 06:31:36.623216,2011-05-20 06:31:36.623216,,
35,6,16,2,"",1080,5,2011-05-20 06:31:36.935448,2011-05-20 06:31:36.935448,,
36,6,17,1,"",1120,5,2011-05-20 06:31:37.248716,2011-05-20 06:31:37.248716,,
37,6,18,1,"",1270,5,2011-05-20 06:31:37.562146,2011-05-20 06:31:37.562146,,
38,6,16,1,"",1250,15,2011-05-20 06:31:37.875015,2011-05-20 06:31:37.875015,,
39,6,16,2,"",1280,5,2011-05-20 06:31:38.188449,2011-05-20 06:31:38.188449,,
40,6,16,1,"",1350,5,2011-05-20 06:31:38.50284,2011-05-20 06:31:38.50284,,
41,6,17,6,"",1430,5,2011-05-20 06:31:38.816343,2011-05-20 06:31:38.816343,,
42,7,49,1,"",10,5,2011-05-20 06:31:39.129568,2011-05-20 06:31:39.129568,,
43,7,49,1,"",400,45,2011-05-20 06:31:39.443742,2011-05-20 06:31:39.443742,,
44,7,16,1,"",1000,45,2011-05-20 06:31:39.756964,2011-05-20 06:31:39.756964,,
45,7,16,1,"",1100,45,2011-05-20 06:31:40.069827,2011-05-20 06:31:40.069827,,
46,7,16,1,"",1100,5,2011-05-20 06:31:40.383763,2011-05-20 06:31:40.383763,,
47,7,12,1,"",1100,5,2011-05-20 06:31:40.696648,2011-05-20 06:31:40.696648,,
48,7,16,1,"",1100,5,2011-05-20 06:31:41.009876,2011-05-20 06:31:41.009876,,
49,7,16,1,"",1100,45,2011-05-20 06:31:41.323426,2011-05-20 06:31:41.323426,,
50,7,18,1,"",1200,5,2011-05-20 06:31:41.698732,2011-05-20 06:31:41.698732,,
51,7,16,1,"",1640,5,2011-05-20 06:31:42.011095,2011-05-20 06:31:42.011095,,
52,7,16,1,"",2130,45,2011-05-20 06:31:42.323066,2011-05-20 06:31:42.323066,,
53,7,16,1,"",2180,5,2011-05-20 06:31:42.636862,2011-05-20 06:31:42.636862,,
54,8,16,1,"",245,5,2011-05-20 06:31:42.950565,2011-05-20 06:31:42.950565,,
55,8,17,1,"",630,15,2011-05-20 06:31:43.263155,2011-05-20 06:31:43.263155,,
56,8,16,1,"",1080,5,2011-05-20 06:31:43.576821,2011-05-20 06:31:43.576821,,
57,8,18,1,"",1250,5,2011-05-20 06:31:43.891089,2011-05-20 06:31:43.891089,,
58,9,16,1,"",310,5,2011-05-20 06:31:44.204148,2011-05-20 06:31:44.204148,,
59,9,17,2,"",615,5,2011-05-20 06:31:44.517018,2011-05-20 06:31:44.517018,,
60,9,18,1,"",640,5,2011-05-20 06:31:44.829484,2011-05-20 06:31:44.829484,,
61,9,17,1,"",670,25,2011-05-20 06:31:45.143129,2011-05-20 06:31:45.143129,,
62,9,16,1,"",1360,5,2011-05-20 06:31:45.4562,2011-05-20 06:31:45.4562,,
63,10,17,4,"",1,5,2011-05-20 06:31:45.769352,2011-05-20 06:31:45.769352,,
64,10,17,1,"",250,25,2011-05-20 06:31:46.083082,2011-05-20 06:31:46.083082,,
65,10,17,5,"",690,45,2011-05-20 06:31:46.396102,2011-05-20 06:31:46.396102,,
66,10,16,1,"",850,5,2011-05-20 06:31:46.708833,2011-05-20 06:31:46.708833,,
67,10,16,1,Nos cruzamos con 3 personas a pie,1160,5,2011-05-20 06:31:47.022653,2011-05-20 06:31:47.022653,,
68,10,17,2,"",1500,25,2011-05-20 06:31:47.338154,2011-05-20 06:31:47.338154,,
69,10,17,1,"",1650,45,2011-05-20 06:31:47.652257,2011-05-20 06:31:47.652257,,
70,11,16,2,"",340,15,2011-05-20 06:31:47.964718,2011-05-20 06:31:47.964718,,
71,11,17,5,"",450,15,2011-05-20 06:31:48.277691,2011-05-20 06:31:48.277691,,
72,11,16,1,"",880,5,2011-05-20 06:31:48.5908,2011-05-20 06:31:48.5908,,
73,11,16,1,"",1000,5,2011-05-20 06:31:48.906465,2011-05-20 06:31:48.906465,,
74,11,17,1,"",1760,25,2011-05-20 06:31:49.220648,2011-05-20 06:31:49.220648,,
75,11,17,1,"",2070,45,2011-05-20 06:31:49.534681,2011-05-20 06:31:49.534681,,
76,12,17,2,"",360,5,2011-05-20 06:31:49.848677,2011-05-20 06:31:49.848677,,
77,12,17,1,"",500,5,2011-05-20 06:31:50.1616,2011-05-20 06:31:50.1616,,
78,12,17,3,"",1000,15,2011-05-20 06:31:50.476724,2011-05-20 06:31:50.476724,,
79,12,17,1,"",1800,5,2011-05-20 06:31:50.790078,2011-05-20 06:31:50.790078,,
80,12,17,1,"",2070,35,2011-05-20 06:31:51.102014,2011-05-20 06:31:51.102014,,
81,13,16,2,"",370,15,2011-05-20 06:31:51.41494,2011-05-20 06:31:51.41494,,
82,13,17,1,"",370,5,2011-05-20 06:31:51.727992,2011-05-20 06:31:51.727992,,
83,13,17,3,"",490,5,2011-05-20 06:31:52.041797,2011-05-20 06:31:52.041797,,
84,13,17,5,"",600,35,2011-05-20 06:31:52.356185,2011-05-20 06:31:52.356185,,
85,13,16,1,"",1000,45,2011-05-20 06:31:52.670037,2011-05-20 06:31:52.670037,,
86,13,17,2,"",1800,45,2011-05-20 06:31:52.983196,2011-05-20 06:31:52.983196,,
87,13,17,10,"",1980,5,2011-05-20 06:31:53.296774,2011-05-20 06:31:53.296774,,
88,14,16,1,"",820,15,2011-05-20 06:31:53.611068,2011-05-20 06:31:53.611068,,
89,14,16,1,"",820,45,2011-05-20 06:31:53.923698,2011-05-20 06:31:53.923698,,
90,14,18,1,"",900,45,2011-05-20 06:31:54.236615,2011-05-20 06:31:54.236615,,
91,14,18,2,"",1007,5,2011-05-20 06:31:54.549922,2011-05-20 06:31:54.549922,,
92,14,18,1,"",1460,5,2011-05-20 06:31:54.864147,2011-05-20 06:31:54.864147,,
93,14,18,1,"",1590,5,2011-05-20 06:31:55.17842,2011-05-20 06:31:55.17842,,
94,14,16,1,"",1850,45,2011-05-20 06:31:55.492228,2011-05-20 06:31:55.492228,,
95,15,16,2,"",1,45,2011-05-20 06:31:55.805201,2011-05-20 06:31:55.805201,,
96,15,16,1,"",270,25,2011-05-20 06:31:56.117769,2011-05-20 06:31:56.117769,,
97,15,18,1,"",380,5,2011-05-20 06:31:56.430892,2011-05-20 06:31:56.430892,,
98,15,18,1,"",380,15,2011-05-20 06:31:56.745369,2011-05-20 06:31:56.745369,,
99,15,17,6,"",725,45,2011-05-20 06:31:57.059554,2011-05-20 06:31:57.059554,,
100,15,16,1,"",725,45,2011-05-20 06:31:57.372411,2011-05-20 06:31:57.372411,,
101,15,16,1,"",1450,45,2011-05-20 06:31:57.687048,2011-05-20 06:31:57.687048,,
102,15,17,1,"",1700,45,2011-05-20 06:31:58.002116,2011-05-20 06:31:58.002116,,
103,15,17,1,"",1700,5,2011-05-20 06:31:58.316567,2011-05-20 06:31:58.316567,,
104,15,17,1,"",1700,15,2011-05-20 06:31:58.630882,2011-05-20 06:31:58.630882,,
105,15,16,1,"",2000,45,2011-05-20 06:31:58.944679,2011-05-20 06:31:58.944679,,
106,16,16,2,"",120,45,2011-05-20 06:31:59.258293,2011-05-20 06:31:59.258293,,
107,16,16,1,"",200,45,2011-05-20 06:31:59.571506,2011-05-20 06:31:59.571506,,
108,16,14,1,"",260,45,2011-05-20 06:31:59.885029,2011-05-20 06:31:59.885029,,
109,16,14,1,"",340,5,2011-05-20 06:32:00.19904,2011-05-20 06:32:00.19904,,
110,16,12,3,"",350,15,2011-05-20 06:32:00.512476,2011-05-20 06:32:00.512476,,
111,16,17,5,"",360,5,2011-05-20 06:32:00.825268,2011-05-20 06:32:00.825268,,
112,16,16,1,"",360,5,2011-05-20 06:32:01.139374,2011-05-20 06:32:01.139374,,
113,16,17,2,"",420,15,2011-05-20 06:32:01.453311,2011-05-20 06:32:01.453311,,
114,16,16,2,"",460,25,2011-05-20 06:32:01.767646,2011-05-20 06:32:01.767646,,
115,16,12,2,"",460,25,2011-05-20 06:32:02.081319,2011-05-20 06:32:02.081319,,
116,17,16,1,"",50,5,2011-05-20 06:32:02.396056,2011-05-20 06:32:02.396056,,
117,17,16,1,"",150,15,2011-05-20 06:32:02.708978,2011-05-20 06:32:02.708978,,
118,17,12,1,"",150,15,2011-05-20 06:32:03.022046,2011-05-20 06:32:03.022046,,
119,17,16,1,"",300,5,2011-05-20 06:32:03.33511,2011-05-20 06:32:03.33511,,
120,17,17,1,"",350,15,2011-05-20 06:32:03.649269,2011-05-20 06:32:03.649269,,
121,17,16,1,"",400,15,2011-05-20 06:32:03.963023,2011-05-20 06:32:03.963023,,
122,17,17,1,"",600,5,2011-05-20 06:32:04.276111,2011-05-20 06:32:04.276111,,
123,17,17,1,"",630,5,2011-05-20 06:32:04.590612,2011-05-20 06:32:04.590612,,
124,17,17,1,"",1000,5,2011-05-20 06:32:04.904757,2011-05-20 06:32:04.904757,,
125,18,18,1,"",240,5,2011-05-20 06:32:05.218285,2011-05-20 06:32:05.218285,,
126,18,16,1,"",250,5,2011-05-20 06:32:05.531815,2011-05-20 06:32:05.531815,,
127,18,12,5,"",350,5,2011-05-20 06:32:05.846426,2011-05-20 06:32:05.846426,,
128,18,17,3,"",350,5,2011-05-20 06:32:06.158721,2011-05-20 06:32:06.158721,,
129,18,14,4,"",350,5,2011-05-20 06:32:06.470481,2011-05-20 06:32:06.470481,,
130,18,14,4,"",300,5,2011-05-20 06:32:06.783863,2011-05-20 06:32:06.783863,,
131,18,16,2,"",300,5,2011-05-20 06:32:07.097397,2011-05-20 06:32:07.097397,,
132,18,14,1,"",275,5,2011-05-20 06:32:07.412211,2011-05-20 06:32:07.412211,,
133,18,18,1,"",277,5,2011-05-20 06:32:07.726063,2011-05-20 06:32:07.726063,,
134,18,16,2,"",313,15,2011-05-20 06:32:08.039671,2011-05-20 06:32:08.039671,,
135,18,16,1,"",420,15,2011-05-20 06:32:08.420871,2011-05-20 06:32:08.420871,,
136,18,14,1,"",430,15,2011-05-20 06:32:08.73549,2011-05-20 06:32:08.73549,,
137,18,18,1,"",850,5,2011-05-20 06:32:09.04993,2011-05-20 06:32:09.04993,,
138,18,17,2,"",1400,15,2011-05-20 06:32:09.363826,2011-05-20 06:32:09.363826,,
139,18,16,1,"",1450,5,2011-05-20 06:32:09.677407,2011-05-20 06:32:09.677407,,
140,18,17,2,"",1700,45,2011-05-20 06:32:09.991519,2011-05-20 06:32:09.991519,,
141,18,16,1,"",1500,15,2011-05-20 06:32:10.304796,2011-05-20 06:32:10.304796,,
142,18,17,2,"",1600,5,2011-05-20 06:32:10.617099,2011-05-20 06:32:10.617099,,
143,18,14,5,"",1650,5,2011-05-20 06:32:10.929703,2011-05-20 06:32:10.929703,,
144,18,14,1,"",1700,5,2011-05-20 06:32:11.243218,2011-05-20 06:32:11.243218,,
145,18,14,3,"",1750,5,2011-05-20 06:32:11.556248,2011-05-20 06:32:11.556248,,
146,18,16,1,"",1750,15,2011-05-20 06:32:11.870081,2011-05-20 06:32:11.870081,,
147,18,16,1,"",1700,5,2011-05-20 06:32:12.183076,2011-05-20 06:32:12.183076,,
148,18,14,1,"",1890,45,2011-05-20 06:32:12.496266,2011-05-20 06:32:12.496266,,
149,18,14,3,"",1900,5,2011-05-20 06:32:12.810323,2011-05-20 06:32:12.810323,,
150,18,16,6,"",1900,5,2011-05-20 06:32:13.123758,2011-05-20 06:32:13.123758,,
151,18,49,2,"",2000,45,2011-05-20 06:32:13.4379,2011-05-20 06:32:13.4379,,
152,18,16,1,"",2150,5,2011-05-20 06:32:13.752422,2011-05-20 06:32:13.752422,,
153,19,16,2,"",650,5,2011-05-20 06:32:14.066716,2011-05-20 06:32:14.066716,,
154,19,49,1,"",1500,35,2011-05-20 06:32:14.380874,2011-05-20 06:32:14.380874,,
155,19,16,1,"",1750,35,2011-05-20 06:32:14.694908,2011-05-20 06:32:14.694908,,
156,19,16,3,"",2230,5,2011-05-20 06:32:15.006679,2011-05-20 06:32:15.006679,,
157,19,49,2,"",2500,45,2011-05-20 06:32:15.320335,2011-05-20 06:32:15.320335,,
158,20,16,2,"",230,5,2011-05-20 06:32:15.634643,2011-05-20 06:32:15.634643,,
159,20,16,1,"",320,35,2011-05-20 06:32:15.948033,2011-05-20 06:32:15.948033,,
160,20,12,1,"",390,45,2011-05-20 06:32:16.261004,2011-05-20 06:32:16.261004,,
161,20,12,1,">50 m
>50m",571,55,2011-05-20 06:32:16.574548,2011-05-20 06:32:16.574548,,
162,20,16,2,>50m,650,55,2011-05-20 06:32:16.888817,2011-05-20 06:32:16.888817,,
163,20,18,1,"",1080,35,2011-05-20 06:32:17.202236,2011-05-20 06:32:17.202236,,
164,20,16,1,"",1500,5,2011-05-20 06:32:17.515023,2011-05-20 06:32:17.515023,,
165,20,16,1,"",1600,45,2011-05-20 06:32:17.828199,2011-05-20 06:32:17.828199,,
166,20,12,4,"",1600,45,2011-05-20 06:32:18.141782,2011-05-20 06:32:18.141782,,
167,20,49,1,"",1700,45,2011-05-20 06:32:18.45491,2011-05-20 06:32:18.45491,,
168,20,16,1,"",2050,5,2011-05-20 06:32:18.767821,2011-05-20 06:32:18.767821,,
169,21,12,1,"",180,5,2011-05-20 06:32:19.082245,2011-05-20 06:32:19.082245,,
170,21,16,1,"",215,5,2011-05-20 06:32:19.397189,2011-05-20 06:32:19.397189,,
171,21,18,1,"",230,5,2011-05-20 06:32:19.712046,2011-05-20 06:32:19.712046,,
172,21,16,2,"",270,5,2011-05-20 06:32:20.027811,2011-05-20 06:32:20.027811,,
173,21,16,2,"",340,5,2011-05-20 06:32:20.340098,2011-05-20 06:32:20.340098,,
174,21,12,1,"",425,5,2011-05-20 06:32:20.65377,2011-05-20 06:32:20.65377,,
175,21,17,1,"",460,5,2011-05-20 06:32:20.967187,2011-05-20 06:32:20.967187,,
176,21,16,1,"",690,5,2011-05-20 06:32:21.280179,2011-05-20 06:32:21.280179,,
177,21,12,1,"",700,45,2011-05-20 06:32:21.593113,2011-05-20 06:32:21.593113,,
178,21,16,1,"",1170,45,2011-05-20 06:32:21.905291,2011-05-20 06:32:21.905291,,
179,21,16,2,"",1450,5,2011-05-20 06:32:22.218429,2011-05-20 06:32:22.218429,,
180,21,16,1,"",1790,5,2011-05-20 06:32:22.532525,2011-05-20 06:32:22.532525,,
181,22,16,1,"",130,5,2011-05-20 06:32:22.845816,2011-05-20 06:32:22.845816,,
182,22,17,6,"",1100,5,2011-05-20 06:32:23.159676,2011-05-20 06:32:23.159676,,
183,22,18,1,"",1100,5,2011-05-20 06:32:23.471724,2011-05-20 06:32:23.471724,,
184,22,17,2,"",1080,15,2011-05-20 06:32:23.785264,2011-05-20 06:32:23.785264,,
185,22,17,1,"",1250,5,2011-05-20 06:32:24.099227,2011-05-20 06:32:24.099227,,
