id,adis_transecto_id,fechai,fechaf,dicc_viento_id,dicc_nube_id,niebla,created_at,updated_at
2,2,2007-12-27 14:44:00,2007-12-27 15:25:00,4,19,f,2011-05-20 06:18:50.103962,2011-05-20 06:18:50.103962
3,12,2007-11-28 10:30:00,2007-11-28 12:00:00,2,16,f,2011-05-20 06:18:50.426957,2011-05-20 06:18:50.426957
4,12,2007-12-07 11:00:00,2007-12-07 12:30:00,2,16,f,2011-05-20 06:18:50.662198,2011-05-20 06:18:50.662198
5,12,2007-12-18 10:00:00,2007-12-18 11:30:00,2,17,f,2011-05-20 06:18:50.897497,2011-05-20 06:18:50.897497
6,3,2007-11-14 09:05:00,2007-11-14 10:46:00,4,16,f,2011-05-20 06:18:51.132017,2011-05-20 06:18:51.132017
7,12,2007-12-27 15:30:00,2007-12-27 17:00:00,2,18,f,2011-05-20 06:18:51.367332,2011-05-20 06:18:51.367332
8,3,2007-12-05 16:50:00,2007-12-05 17:45:00,3,16,f,2011-05-20 06:18:51.603423,2011-05-20 06:18:51.603423
9,3,2007-12-14 16:25:00,2007-12-14 17:20:00,3,19,f,2011-05-20 06:18:51.838398,2011-05-20 06:18:51.838398
10,11,2007-11-27 10:27:00,2007-11-27 11:07:00,2,18,f,2011-05-20 06:18:52.073345,2011-05-20 06:18:52.073345
11,11,2007-12-03 09:13:00,2007-12-03 09:55:00,2,18,f,2011-05-20 06:18:52.308988,2011-05-20 06:18:52.308988
12,11,2007-12-10 09:14:00,2007-12-10 09:54:00,2,16,f,2011-05-20 06:18:52.542987,2011-05-20 06:18:52.542987
13,11,2007-12-19 09:37:00,2007-12-19 10:18:00,4,20,f,2011-05-20 06:18:52.778116,2011-05-20 06:18:52.778116
14,5,2007-11-13 09:34:00,2007-11-13 10:40:00,2,16,f,2011-05-20 06:18:53.013633,2011-05-20 06:18:53.013633
15,5,2007-11-28 16:00:00,2007-11-28 17:20:00,2,17,f,2011-05-20 06:18:53.249329,2011-05-20 06:18:53.249329
16,5,2007-12-12 10:09:00,2007-12-12 10:54:00,2,16,f,2011-05-20 06:18:53.484462,2011-05-20 06:18:53.484462
17,5,2007-12-24 10:22:00,2007-12-24 11:13:00,2,17,f,2011-05-20 06:18:53.719738,2011-05-20 06:18:53.719738
18,6,2007-11-14 16:25:00,2007-11-14 18:04:00,2,16,f,2011-05-20 06:18:53.955131,2011-05-20 06:18:53.955131
19,6,2007-12-07 16:15:00,2007-12-07 17:10:00,2,17,f,2011-05-20 06:18:54.189818,2011-05-20 06:18:54.189818
