id,nombre_cientifico,created_at,updated_at,ent_pk,imagen,dicc_ecologia_id,dicc_biogeovoou_id,dicc_biogeosimple_id,dicc_estatussn_id,dicc_ecologiatrofica_id,ent_pk_padre,autor,nombre_comun,nivel,audio
3,Fauna,2011-05-16 13:46:36.78746,2011-05-16 13:46:36.78746,1,,,,,,,0,,Fauna,1,
4,Vertebrata,2011-05-16 13:46:36.792449,2011-05-16 13:46:36.792449,10,,,,,,,1,,Vertebrados,2,
5,Mammalia,2011-05-16 13:46:36.79747,2011-05-16 13:46:36.79747,50,,,,,,,10,,Mamíferos,3,
6,Perissodactyla,2011-05-16 13:46:36.802518,2011-05-16 13:46:36.802518,99,,,,,,,50,,"",4,
7,Equidae,2011-05-16 13:46:36.807698,2011-05-16 13:46:36.807698,104956,,,,,,,99,,"",5,
8,Equus,2011-05-16 13:46:36.812767,2011-05-16 13:46:36.812767,104958,,,,,,,104956,,"",6,
9,Equus asinus,2011-05-16 13:46:36.817789,2011-05-16 13:46:36.817789,104951,,,,,,,104958,,Burro,7,
10,Artiodactyla,2011-05-16 13:46:36.822844,2011-05-16 13:46:36.822844,100,,,,,,,50,,"",4,
11,Cervidae,2011-05-16 13:46:36.827847,2011-05-16 13:46:36.827847,1000,,,,,,,100,,"",5,
12,Cervus,2011-05-16 13:46:36.832865,2011-05-16 13:46:36.832865,2001,,,,,,,1000,,"",6,
13,Cervus elaphus,2011-05-16 13:46:36.83791,2011-05-16 13:46:36.83791,2002,,,,,,,2001,,Ciervo común,7,
14,Cervus elaphus subsp. hispanicus,2011-05-16 13:46:36.843028,2011-05-16 13:46:36.843028,16132,,,,,,,2002,,Ciervo mediterráneo,8,
15,Capreolus,2011-05-16 13:46:36.848124,2011-05-16 13:46:36.848124,2004,,,,,,,1000,,"",6,
16,Capreolus capreolus,2011-05-16 13:46:36.853281,2011-05-16 13:46:36.853281,2005,,,,,,,2004,,Corzo,7,
17,Dama,2011-05-16 13:46:36.858255,2011-05-16 13:46:36.858255,2006,,,,,,,1000,,"",6,
18,Dama dama,2011-05-16 13:46:36.863306,2011-05-16 13:46:36.863306,2007,,,,,,,2006,,Gamo,7,
19,Suidae,2011-05-16 13:46:36.868353,2011-05-16 13:46:36.868353,1001,,,,,,,100,,"",5,
