id,nombre_cientifico,created_at,updated_at,ent_pk,imagen,dicc_ecologia_id,dicc_biogeovoou_id,dicc_biogeosimple_id,dicc_estatussn_id,dicc_ecologiatrofica_id,ent_pk_padre,autor,nombre_comun,nivel,audio
20,Sus,2011-05-16 13:46:36.873444,2011-05-16 13:46:36.873444,2008,,,,,,,1001,,"",6,
21,Sus scrofa,2011-05-16 13:46:36.878539,2011-05-16 13:46:36.878539,2009,,,,,,,2008,,Jabalí,7,
22,Sus domesticus,2011-05-16 13:46:36.883572,2011-05-16 13:46:36.883572,104950,,,,,,,2008,,Cerdo,7,
23,Bovidae,2011-05-16 13:46:36.888611,2011-05-16 13:46:36.888611,1002,,,,,,,100,,"",5,
24,Capra,2011-05-16 13:46:36.893747,2011-05-16 13:46:36.893747,2010,,,,,,,1002,,"",6,
25,Capra pyrenaica,2011-05-16 13:46:36.898761,2011-05-16 13:46:36.898761,2011,,,,,,,2010,,Cabra montés,7,
26,Capra pyrenaica subsp. hispanica,2011-05-16 13:46:36.904044,2011-05-16 13:46:36.904044,15150,,,,,,,2011,,Cabra montés,8,
27,Capra hircus,2011-05-16 13:46:36.909044,2011-05-16 13:46:36.909044,107564,,,,,,,2010,,Cabra doméstica,7,
28,Ovis,2011-05-16 13:46:36.914156,2011-05-16 13:46:36.914156,2014,,,,,,,1002,,"",6,
29,Ovis musimon,2011-05-16 13:46:36.919225,2011-05-16 13:46:36.919225,2015,,,,,,,2014,,Muflón,7,
30,Ammotragus,2011-05-16 13:46:36.924278,2011-05-16 13:46:36.924278,105105,,,,,,,1002,,"",6,
31,Ammotragus lervia,2011-05-16 13:46:36.929297,2011-05-16 13:46:36.929297,105104,,,,,,,105105,,Arrui,7,
32,Lagomorpha,2011-05-16 13:46:37.000946,2011-05-16 13:46:37.000946,101,,,,,,,50,,"",4,
33,Leporidae,2011-05-16 13:46:37.006183,2011-05-16 13:46:37.006183,1003,,,,,,,101,,"",5,
34,Lepus,2011-05-16 13:46:37.011242,2011-05-16 13:46:37.011242,2020,,,,,,,1003,,Liebres,6,
35,Lepus granatensis,2011-05-16 13:46:37.016372,2011-05-16 13:46:37.016372,2021,,,,,,,2020,,Liebre,7,
36,Oryctolagus,2011-05-16 13:46:37.021387,2011-05-16 13:46:37.021387,2025,,,,,,,1003,,Conejos,6,
37,Oryctolagus cuniculus,2011-05-16 13:46:37.026483,2011-05-16 13:46:37.026483,2026,,,,,,,2025,,Conejo,7,
38,Rodentia,2011-05-16 13:46:37.031561,2011-05-16 13:46:37.031561,102,,,,,,,50,,"",4,
39,Sciuridae,2011-05-16 13:46:37.036592,2011-05-16 13:46:37.036592,1004,,,,,,,102,,"",5,
40,Sciurus,2011-05-16 13:46:37.041601,2011-05-16 13:46:37.041601,2030,,,,,,,1004,,Ardillas,6,
41,Sciurus vulgaris,2011-05-16 13:46:37.046683,2011-05-16 13:46:37.046683,2031,,,,,,,2030,,Ardilla común,7,
42,Muridae,2011-05-16 13:46:37.051702,2011-05-16 13:46:37.051702,1005,,,,,,,102,,"",5,
43,Apodemus,2011-05-16 13:46:37.056789,2011-05-16 13:46:37.056789,2032,,,,,,,1005,,"",6,
44,Apodemus sylvaticus,2011-05-16 13:46:37.061742,2011-05-16 13:46:37.061742,2033,,,,,,,2032,,Ratón de campo,7,
45,Mus,2011-05-16 13:46:37.066683,2011-05-16 13:46:37.066683,2035,,,,,,,1005,,"",6,
46,Mus musculus,2011-05-16 13:46:37.071661,2011-05-16 13:46:37.071661,2036,,,,,,,2035,,Ratón casero,7,
47,Mus spretus,2011-05-16 13:46:37.07674,2011-05-16 13:46:37.07674,2037,,,,,,,2035,,Ratón moruno,7,
48,Rattus,2011-05-16 13:46:37.081688,2011-05-16 13:46:37.081688,2040,,,,,,,1005,,"",6,
49,Rattus norvegicus,2011-05-16 13:46:37.086611,2011-05-16 13:46:37.086611,2041,,,,,,,2040,,Rata común,7,
50,Rattus rattus,2011-05-16 13:46:37.091493,2011-05-16 13:46:37.091493,2042,,,,,,,2040,,Rata negra,7,
51,Arvicolidae,2011-05-16 13:46:37.096421,2011-05-16 13:46:37.096421,1006,,,,,,,102,,"",5,
52,Arvicola,2011-05-16 13:46:37.101335,2011-05-16 13:46:37.101335,2045,,,,,,,1006,,"",6,
53,Arvicola sapidus,2011-05-16 13:46:37.106308,2011-05-16 13:46:37.106308,2046,,,,,,,2045,,Rata de agua,7,
54,Chionomys,2011-05-16 13:46:37.111208,2011-05-16 13:46:37.111208,2047,,,,,,,1006,,"",6,
55,Chionomys nivalis,2011-05-16 13:46:37.11613,2011-05-16 13:46:37.11613,2048,,,,,,,2047,,Topillo nival,7,
56,Pitymys,2011-05-16 13:46:37.121008,2011-05-16 13:46:37.121008,2050,,,,,,,1006,,"",6,
57,Pitymys cabrerae,2011-05-16 13:46:37.125914,2011-05-16 13:46:37.125914,2051,,,,,,,2050,,Topillo de Cabrera,7,
58,Pitymys duodecimcostatus,2011-05-16 13:46:37.130809,2011-05-16 13:46:37.130809,2052,,,,,,,2050,,Topillo común,7,
59,Microtus,2011-05-16 13:46:37.135782,2011-05-16 13:46:37.135782,16133,,,,,,,1006,,"",6,
60,Microtus cabrerae,2011-05-16 13:46:37.140692,2011-05-16 13:46:37.140692,16134,,,,,,,16133,,Topillo de Cabrera,7,
61,Myoxidae,2011-05-16 13:46:37.145712,2011-05-16 13:46:37.145712,1007,,,,,,,102,,"",5,
62,Eliomys,2011-05-16 13:46:37.150543,2011-05-16 13:46:37.150543,2055,,,,,,,1007,,"",6,
63,Eliomys quercinus,2011-05-16 13:46:37.155524,2011-05-16 13:46:37.155524,2056,,,,,,,2055,,Lirón careto,7,
64,Primates,2011-05-16 13:46:37.160428,2011-05-16 13:46:37.160428,103,,,,,,,50,,"",4,
65,Cercopithecidae,2011-05-16 13:46:37.165424,2011-05-16 13:46:37.165424,1008,,,,,,,103,,"",5,
66,Macaca,2011-05-16 13:46:37.170306,2011-05-16 13:46:37.170306,2060,,,,,,,1008,,"",6,
67,Macaca sylvana,2011-05-16 13:46:37.175257,2011-05-16 13:46:37.175257,2061,,,,,,,2060,,Mono de Gibraltar,7,
68,Insectivora,2011-05-16 13:46:37.180131,2011-05-16 13:46:37.180131,104,,,,,,,50,,"",4,
69,Erinaceidae,2011-05-16 13:46:37.185109,2011-05-16 13:46:37.185109,1009,,,,,,,104,,"",5,
70,Erinaceus,2011-05-16 13:46:37.189933,2011-05-16 13:46:37.189933,2065,,,,,,,1009,,"",6,
71,Erinaceus europaeus,2011-05-16 13:46:37.194912,2011-05-16 13:46:37.194912,2066,,,,,,,2065,,Erizo,7,
72,Atelerix,2011-05-16 13:46:37.199772,2011-05-16 13:46:37.199772,2067,,,,,,,1009,,"",6,
73,Atelerix algirus,2011-05-16 13:46:37.205046,2011-05-16 13:46:37.205046,2068,,,,,,,2067,,Erizo moruno,7,
74,Soricidae,2011-05-16 13:46:37.21011,2011-05-16 13:46:37.21011,1010,,,,,,,104,,"",5,
75,Crocidura,2011-05-16 13:46:37.215245,2011-05-16 13:46:37.215245,2070,,,,,,,1010,,"",6,
76,Crocidura russula,2011-05-16 13:46:37.220259,2011-05-16 13:46:37.220259,2071,,,,,,,2070,,Musaraña común,7,
77,Crocidura suaveolens,2011-05-16 13:46:37.225357,2011-05-16 13:46:37.225357,2072,,,,,,,2070,,Musaraña campesina,7,
78,Neomys,2011-05-16 13:46:37.23042,2011-05-16 13:46:37.23042,2075,,,,,,,1010,,"",6,
79,Neomys anomalus,2011-05-16 13:46:37.235599,2011-05-16 13:46:37.235599,2076,,,,,,,2075,,Musgaño de Cabrera,7,
80,Suncus,2011-05-16 13:46:37.24067,2011-05-16 13:46:37.24067,2077,,,,,,,1010,,"",6,
81,Suncus etruscus,2011-05-16 13:46:37.314116,2011-05-16 13:46:37.314116,2078,,,,,,,2077,,Musarañita,7,
82,Talpidae,2011-05-16 13:46:37.319481,2011-05-16 13:46:37.319481,1011,,,,,,,104,,"",5,
83,Talpa,2011-05-16 13:46:37.324709,2011-05-16 13:46:37.324709,2080,,,,,,,1011,,"",6,
84,Talpa occidentalis,2011-05-16 13:46:37.32976,2011-05-16 13:46:37.32976,2081,,,,,,,2080,,Topo ibérico,7,
85,Chiroptera,2011-05-16 13:46:37.334918,2011-05-16 13:46:37.334918,105,,,,,,,50,,"",4,
86,Microchiroptera,2011-05-16 13:46:37.34012,2011-05-16 13:46:37.34012,1012,,,,,,,105,,"",5,
87,Rhinolophus,2011-05-16 13:46:37.345236,2011-05-16 13:46:37.345236,2085,,,,,,,1012,,"",6,
88,Rhinolophus ferrumequinum,2011-05-16 13:46:37.350289,2011-05-16 13:46:37.350289,2086,,,,,,,2085,,Murciélago grande de herradura,7,
89,Rhinolophus hipposideros,2011-05-16 13:46:37.355474,2011-05-16 13:46:37.355474,2087,,,,,,,2085,,Murciélago pequeño de herradura,7,
90,Rhinolophus euryale,2011-05-16 13:46:37.360489,2011-05-16 13:46:37.360489,2088,,,,,,,2085,,Murciélago mediterráneo de herradura,7,
91,Rhinolophus mehelyi,2011-05-16 13:46:37.365574,2011-05-16 13:46:37.365574,2089,,,,,,,2085,,Murciélago mediano de herradura,7,
92,Rhinolophus euryale/R.mehelyi,2011-05-16 13:46:37.370568,2011-05-16 13:46:37.370568,110352,,,,,,,2085,,"",7,
93,Myotis,2011-05-16 13:46:37.37559,2011-05-16 13:46:37.37559,2090,,,,,,,1012,,"",6,
94,Myotis myotis,2011-05-16 13:46:37.380717,2011-05-16 13:46:37.380717,2091,,,,,,,2090,,Murciélago ratonero grande,7,
95,Myotis blythii,2011-05-16 13:46:37.385765,2011-05-16 13:46:37.385765,2092,,,,,,,2090,,Murciélago ratonero mediano,7,
96,Myotis emarginatus,2011-05-16 13:46:37.390672,2011-05-16 13:46:37.390672,2093,,,,,,,2090,,Murciéalgo de Geoffroy,7,
97,Myotis nattereri,2011-05-16 13:46:37.395628,2011-05-16 13:46:37.395628,2094,,,,,,,2090,,Murciélago de patagio aserrado,7,
98,Myotis bechsteinii,2011-05-16 13:46:37.400554,2011-05-16 13:46:37.400554,2095,,,,,,,2090,,Murciélago ratonero forestal,7,
99,Myotis daubentoni,2011-05-16 13:46:37.405557,2011-05-16 13:46:37.405557,2096,,,,,,,2090,,Murciélago de ribera,7,
100,Myotis capaccinii,2011-05-16 13:46:37.410502,2011-05-16 13:46:37.410502,2097,,,,,,,2090,,Murciélago patudo,7,
101,Myotis mystacinus,2011-05-16 13:46:37.415481,2011-05-16 13:46:37.415481,106664,,,,,,,2090,,Murciélago bigotudo,7,
102,Myotis myotis/M. blythii,2011-05-16 13:46:37.420471,2011-05-16 13:46:37.420471,110351,,,,,,,2090,,"",7,
103,Myotis escalerai,2011-05-16 13:46:37.425431,2011-05-16 13:46:37.425431,110353,,,,,,,2090,,"",7,
104,Myotis escalerai/M. emarginatus/ M. daubentoni,2011-05-16 13:46:37.430393,2011-05-16 13:46:37.430393,110354,,,,,,,2090,,"",7,
105,Plecotus,2011-05-16 13:46:37.435345,2011-05-16 13:46:37.435345,2100,,,,,,,1012,,"",6,
106,Plecotus austriacus,2011-05-16 13:46:37.44022,2011-05-16 13:46:37.44022,2101,,,,,,,2100,,Murciélago orejudo gris,7,
107,Plecotus auritus,2011-05-16 13:46:37.445176,2011-05-16 13:46:37.445176,106665,,,,,,,2100,,Murciélago orejudo dorado,7,
108,Barbastella,2011-05-16 13:46:37.450126,2011-05-16 13:46:37.450126,2102,,,,,,,1012,,"",6,
109,Barbastella barbastellus,2011-05-16 13:46:37.45515,2011-05-16 13:46:37.45515,2103,,,,,,,2102,,Murciélago de bosque,7,
110,Miniopterus,2011-05-16 13:46:37.460004,2011-05-16 13:46:37.460004,2104,,,,,,,1012,,"",6,
111,Miniopterus schreibersii,2011-05-16 13:46:37.464992,2011-05-16 13:46:37.464992,2105,,,,,,,2104,,Murciélago de cueva,7,
112,Vespertilionidae,2011-05-16 13:46:37.469865,2011-05-16 13:46:37.469865,16118,,,,,,,1012,,"",6,
113,Pipistrellus,2011-05-16 13:46:37.474807,2011-05-16 13:46:37.474807,16119,,,,,,,16118,,"",7,
114,Pipistrellus pipistrellus,2011-05-16 13:46:37.479739,2011-05-16 13:46:37.479739,16120,,,,,,,16119,,Murciélago común,8,
115,Pipistrellus pygmaeus,2011-05-16 13:46:37.484722,2011-05-16 13:46:37.484722,16121,,,,,,,16119,,Murciélago enano,8,
116,Hypsugo savii,2011-05-16 13:46:37.48969,2011-05-16 13:46:37.48969,103068,,,,,,,16119,,Murciélago montañero,8,
117,Pipistrellus kuhlii,2011-05-16 13:46:37.49469,2011-05-16 13:46:37.49469,103070,,,,,,,16119,,Murciélago de borde claro,8,
118,Pipistrellus nathusii,2011-05-16 13:46:37.499637,2011-05-16 13:46:37.499637,106666,,,,,,,16119,,"",8,
119,Nyctalus,2011-05-16 13:46:37.504563,2011-05-16 13:46:37.504563,16122,,,,,,,16118,,"",7,
120,Nyctalus leisleri,2011-05-16 13:46:37.509592,2011-05-16 13:46:37.509592,16123,,,,,,,16122,,Nóctulo menor,8,
121,Nyctalus noctula,2011-05-16 13:46:37.514532,2011-05-16 13:46:37.514532,16124,,,,,,,16122,,Nóctulo mediano,8,
122,Nyctalus lasiopterus,2011-05-16 13:46:37.519478,2011-05-16 13:46:37.519478,16125,,,,,,,16122,,Nóctulo gigante,8,
123,Eptesicus,2011-05-16 13:46:37.524475,2011-05-16 13:46:37.524475,103066,,,,,,,16118,,"",7,
124,Eptesicus serotinus,2011-05-16 13:46:37.529426,2011-05-16 13:46:37.529426,103067,,,,,,,103066,,Murciélago hortelano,8,
125,Eptesicus isabellinus,2011-05-16 13:46:37.534464,2011-05-16 13:46:37.534464,111807,,,,,,,103066,,Murciélago hortelano mediterráneo,8,
126,Molossidae,2011-05-16 13:46:37.539405,2011-05-16 13:46:37.539405,104614,,,,,,,1012,,"",6,
127,Tadarida,2011-05-16 13:46:37.544533,2011-05-16 13:46:37.544533,104613,,,,,,,104614,,"",7,
128,Tadarida teniotis,2011-05-16 13:46:37.549446,2011-05-16 13:46:37.549446,104612,,,,,,,104613,,Murciélago rabudo,8,
129,Carnivora,2011-05-16 13:46:37.554431,2011-05-16 13:46:37.554431,106,,,,,,,50,,"",4,
130,Felidae,2011-05-16 13:46:37.628496,2011-05-16 13:46:37.628496,1020,,,,,,,106,,"",5,
131,Lynx,2011-05-16 13:46:37.633883,2011-05-16 13:46:37.633883,2120,,,,,,,1020,,"",6,
132,Lynx pardinus,2011-05-16 13:46:37.638956,2011-05-16 13:46:37.638956,2121,,,,,,,2120,,Lince,7,
133,Felis,2011-05-16 13:46:37.64462,2011-05-16 13:46:37.64462,2122,,,,,,,1020,,"",6,
134,Felis silvestris,2011-05-16 13:46:37.649722,2011-05-16 13:46:37.649722,2123,,,,,,,2122,,Gato montés,7,
135,Felis catus,2011-05-16 13:46:37.654851,2011-05-16 13:46:37.654851,2124,,,,,,,2122,,Gato común,7,
136,Canidae,2011-05-16 13:46:37.659913,2011-05-16 13:46:37.659913,1021,,,,,,,106,,"",5,
137,Canis,2011-05-16 13:46:37.66503,2011-05-16 13:46:37.66503,2125,,,,,,,1021,,"",6,
138,Canis lupus,2011-05-16 13:46:37.670094,2011-05-16 13:46:37.670094,2126,,,,,,,2125,,Lobo,7,
139,Canis familiaris,2011-05-16 13:46:37.675225,2011-05-16 13:46:37.675225,2127,,,,,,,2125,,Perro,7,
140,Vulpes,2011-05-16 13:46:37.680274,2011-05-16 13:46:37.680274,2128,,,,,,,1021,,"",6,
141,Vulpes vulpes,2011-05-16 13:46:37.685389,2011-05-16 13:46:37.685389,2129,,,,,,,2128,,Zorro,7,
142,Mustelidae,2011-05-16 13:46:37.690686,2011-05-16 13:46:37.690686,1022,,,,,,,106,,"",5,
143,Mustela,2011-05-16 13:46:37.695781,2011-05-16 13:46:37.695781,2130,,,,,,,1022,,"",6,
144,Mustela nivalis,2011-05-16 13:46:37.700783,2011-05-16 13:46:37.700783,2131,,,,,,,2130,,Comadreja,7,
145,Mustela erninea,2011-05-16 13:46:37.705772,2011-05-16 13:46:37.705772,103359,,,,,,,2130,,Armiño,7,
146,Mustela lutreola,2011-05-16 13:46:37.710731,2011-05-16 13:46:37.710731,103360,,,,,,,2130,,Visón europeo,7,
147,Mustela vison,2011-05-16 13:46:37.715739,2011-05-16 13:46:37.715739,103361,,,,,,,2130,,Visón americano,7,
148,Putorius,2011-05-16 13:46:37.720748,2011-05-16 13:46:37.720748,2133,,,,,,,1022,,"",6,
149,Putorius putorius,2011-05-16 13:46:37.72571,2011-05-16 13:46:37.72571,2134,,,,,,,2133,,Turón,7,
150,Martes,2011-05-16 13:46:37.73065,2011-05-16 13:46:37.73065,2135,,,,,,,1022,,"",6,
151,Martes foina,2011-05-16 13:46:37.735575,2011-05-16 13:46:37.735575,2136,,,,,,,2135,,Garduña,7,
152,Martes martes,2011-05-16 13:46:37.740527,2011-05-16 13:46:37.740527,2137,,,,,,,2135,,Marta,7,
153,Lutra,2011-05-16 13:46:37.745474,2011-05-16 13:46:37.745474,2138,,,,,,,1022,,"",6,
154,Lutra lutra,2011-05-16 13:46:37.750382,2011-05-16 13:46:37.750382,2139,,,,,,,2138,,Nutria,7,
155,Meles,2011-05-16 13:46:37.755334,2011-05-16 13:46:37.755334,2140,,,,,,,1022,,"",6,
156,Meles meles,2011-05-16 13:46:37.760259,2011-05-16 13:46:37.760259,2141,,,,,,,2140,,Tejón,7,
157,Viverridae,2011-05-16 13:46:37.765233,2011-05-16 13:46:37.765233,1023,,,,,,,106,,"",5,
158,Genetta,2011-05-16 13:46:37.770135,2011-05-16 13:46:37.770135,2142,,,,,,,1023,,"",6,
159,Genetta genetta,2011-05-16 13:46:37.775148,2011-05-16 13:46:37.775148,2143,,,,,,,2142,,Gineta,7,
160,Herpestidae,2011-05-16 13:46:37.780048,2011-05-16 13:46:37.780048,1024,,,,,,,106,,"",5,
161,Herpestes,2011-05-16 13:46:37.785011,2011-05-16 13:46:37.785011,2144,,,,,,,1024,,"",6,
162,Herpestes ichneumon,2011-05-16 13:46:37.789972,2011-05-16 13:46:37.789972,2145,,,,,,,2144,,Meloncillo,7,
163,Pinnipeda,2011-05-16 13:46:37.794944,2011-05-16 13:46:37.794944,107,,,,,,,50,,"",4,
164,Phocidae,2011-05-16 13:46:37.799898,2011-05-16 13:46:37.799898,2150,,,,,,,107,,"",5,
165,Monachus,2011-05-16 13:46:37.804876,2011-05-16 13:46:37.804876,2151,,,,,,,2150,,"",6,
166,Monachus monachus,2011-05-16 13:46:37.809878,2011-05-16 13:46:37.809878,2152,,,,,,,2151,,Foca Monje del Mediterráneo,7,
167,Phoca,2011-05-16 13:46:37.814851,2011-05-16 13:46:37.814851,2153,,,,,,,2150,,"",6,
168,Phoca vitulina,2011-05-16 13:46:37.819879,2011-05-16 13:46:37.819879,2154,,,,,,,2153,,Foca común,7,
169,Cystophora,2011-05-16 13:46:37.824974,2011-05-16 13:46:37.824974,2155,,,,,,,2150,,"",6,
170,Cystophora cristata,2011-05-16 13:46:37.830161,2011-05-16 13:46:37.830161,2156,,,,,,,2155,,Foca de casco,7,
171,Pagophilus,2011-05-16 13:46:37.835132,2011-05-16 13:46:37.835132,111274,,,,,,,2150,,"",6,
172,Pagophilus groenlandicus,2011-05-16 13:46:37.840097,2011-05-16 13:46:37.840097,109667,,,,,,,111274,,"",7,
173,Cetacea,2011-05-16 13:46:37.845077,2011-05-16 13:46:37.845077,108,,,,,,,50,,"",4,
174,Balaenidae,2011-05-16 13:46:37.850038,2011-05-16 13:46:37.850038,2157,,,,,,,108,,"",5,
175,Eubalaena,2011-05-16 13:46:37.855015,2011-05-16 13:46:37.855015,2158,,,,,,,2157,,"",6,
176,Eubalaena glacialis,2011-05-16 13:46:37.859949,2011-05-16 13:46:37.859949,2159,,,,,,,2158,,Ballena vasca,7,
177,Balaenopteridae,2011-05-16 13:46:37.86498,2011-05-16 13:46:37.86498,2160,,,,,,,108,,"",5,
178,Balaenoptera,2011-05-16 13:46:37.869897,2011-05-16 13:46:37.869897,2161,,,,,,,2160,,"",6,
179,Balaenoptera musculus,2011-05-16 13:46:37.944642,2011-05-16 13:46:37.944642,2162,,,,,,,2161,,Rorcual azul,7,
180,Balaenoptera physalus,2011-05-16 13:46:37.950066,2011-05-16 13:46:37.950066,2163,,,,,,,2161,,Rorcual común,7,
181,Balaenoptera acutorostrata,2011-05-16 13:46:37.955291,2011-05-16 13:46:37.955291,16130,,,,,,,2161,,Rorcual aliblanco,7,
182,Balaenoptera borealis,2011-05-16 13:46:37.960372,2011-05-16 13:46:37.960372,16131,,,,,,,2161,,Rolcual norteño,7,
183,Balaenoptera edeni,2011-05-16 13:46:37.965492,2011-05-16 13:46:37.965492,111776,,,,,,,2161,,Rorcual tropical,7,
184,Balaenoptera brydei,2011-05-16 13:46:37.970592,2011-05-16 13:46:37.970592,111854,,,,,,,2161,,"",7,
185,Megaptera,2011-05-16 13:46:37.975715,2011-05-16 13:46:37.975715,2164,,,,,,,2160,,"",6,
186,Megaptera novaeangliae,2011-05-16 13:46:37.980795,2011-05-16 13:46:37.980795,2165,,,,,,,2164,,Yubarta,7,
187,Ziphiidae,2011-05-16 13:46:37.985926,2011-05-16 13:46:37.985926,2166,,,,,,,108,,"",5,
188,Hyperoodon,2011-05-16 13:46:37.990978,2011-05-16 13:46:37.990978,2167,,,,,,,2166,,"",6,
189,Hyperoodon rostratus,2011-05-16 13:46:37.996319,2011-05-16 13:46:37.996319,2168,,,,,,,2167,,"",7,
190,Hyperoodon ampullatus,2011-05-16 13:46:38.001416,2011-05-16 13:46:38.001416,111782,,,,,,,2167,,Zifio calderón septentrional,7,
191,Mesoplodon,2011-05-16 13:46:38.006575,2011-05-16 13:46:38.006575,2169,,,,,,,2166,,"",6,
192,Mesoplodon mirus,2011-05-16 13:46:38.011633,2011-05-16 13:46:38.011633,2170,,,,,,,2169,,Ballenato hocicudo de True,7,
193,Mesoplodon densirostris,2011-05-16 13:46:38.016753,2011-05-16 13:46:38.016753,111783,,,,,,,2169,,Zifio de Blainville,7,
194,Mesoplodon europaeus,2011-05-16 13:46:38.021799,2011-05-16 13:46:38.021799,111784,,,,,,,2169,,Zifio de Gervais,7,
195,Ziphius,2011-05-16 13:46:38.026847,2011-05-16 13:46:38.026847,2171,,,,,,,2166,,"",6,
196,Ziphius cavirostris,2011-05-16 13:46:38.03181,2011-05-16 13:46:38.03181,2172,,,,,,,2171,,Ballena de Cuvier,7,
197,Delphinidae,2011-05-16 13:46:38.036828,2011-05-16 13:46:38.036828,2173,,,,,,,108,,"",5,
198,Orcinus,2011-05-16 13:46:38.04178,2011-05-16 13:46:38.04178,2174,,,,,,,2173,,"",6,
199,Orcinus orca,2011-05-16 13:46:38.046766,2011-05-16 13:46:38.046766,2175,,,,,,,2174,,Orca común,7,
200,Pseudorca,2011-05-16 13:46:38.051714,2011-05-16 13:46:38.051714,2176,,,,,,,2173,,"",6,
201,Pseudorca crassidens,2011-05-16 13:46:38.056719,2011-05-16 13:46:38.056719,2177,,,,,,,2176,,Orca bastarda,7,
202,Grampus,2011-05-16 13:46:38.061704,2011-05-16 13:46:38.061704,2178,,,,,,,2173,,"",6,
203,Grampus griseus,2011-05-16 13:46:38.066758,2011-05-16 13:46:38.066758,2179,,,,,,,2178,,Calderón gris,7,
204,Globicephala,2011-05-16 13:46:38.071752,2011-05-16 13:46:38.071752,2180,,,,,,,2173,,"",6,
205,Globicephala melaena,2011-05-16 13:46:38.076758,2011-05-16 13:46:38.076758,2181,,,,,,,2180,,Calderón común,7,
206,Globicephala melas,2011-05-16 13:46:38.081699,2011-05-16 13:46:38.081699,16128,,,,,,,2180,,Calderón común,7,
207,Globicephala macrorhynchus,2011-05-16 13:46:38.086763,2011-05-16 13:46:38.086763,106669,,,,,,,2180,,Calderón tropical,7,
208,Delphinus,2011-05-16 13:46:38.091695,2011-05-16 13:46:38.091695,2182,,,,,,,2173,,"",6,
209,Delphinus delphis,2011-05-16 13:46:38.096747,2011-05-16 13:46:38.096747,2183,,,,,,,2182,,Delfín común,7,
210,Tursiops,2011-05-16 13:46:38.101693,2011-05-16 13:46:38.101693,2184,,,,,,,2173,,"",6,
211,Tursiops truncatus,2011-05-16 13:46:38.106733,2011-05-16 13:46:38.106733,2185,,,,,,,2184,,Delfín mular,7,
212,Stenella,2011-05-16 13:46:38.111666,2011-05-16 13:46:38.111666,16126,,,,,,,2173,,"",6,
213,Stenella coeruleoalba,2011-05-16 13:46:38.116923,2011-05-16 13:46:38.116923,16127,,,,,,,16126,,Delfín listado,7,
214,Stenella frontalis,2011-05-16 13:46:38.121877,2011-05-16 13:46:38.121877,111780,,,,,,,16126,,Delfín moteado del Atlántico,7,
215,Lagenodelphis,2011-05-16 13:46:38.126963,2011-05-16 13:46:38.126963,111779,,,,,,,2173,,"",6,
216,Lagenodelphis hosei,2011-05-16 13:46:38.13189,2011-05-16 13:46:38.13189,111778,,,,,,,111779,,Delfín de Fraser,7,
217,Lacerta schreiberi,2011-05-16 13:46:38.136973,2011-05-16 13:46:38.136973,16116,,,,,,,111778,,Lagarto verdinegro,8,
218,Steno,2011-05-16 13:46:38.142005,2011-05-16 13:46:38.142005,111785,,,,,,,2173,,"",6,
219,Steno bredanensis,2011-05-16 13:46:38.14704,2011-05-16 13:46:38.14704,111781,,,,,,,111785,,Delfín de dientes rugosos,7,
