Ord,PK_VISITAS,FECHA,year,loc,specie,n,dis,desp
30121,784,09/16/2011,2011,DIL,Garrulus glandarius,1,1159,45
30137,784,09/16/2011,2011,DIL,Garrulus glandarius,1,2154,35
30139,784,09/16/2011,2011,DIL,Garrulus glandarius,1,2500,45
30143,784,09/16/2011,2011,DIL,Garrulus glandarius,2,2052,25
30180,782,09/10/2011,2011,CAM,Garrulus glandarius,1,1850,35
30209,783,09/07/2011,2011,CAN,Garrulus glandarius,1,205,25
30221,783,09/07/2011,2011,CAN,Garrulus glandarius,1,180,35
30227,769,08/26/2011,2011,CAM,Garrulus glandarius,1,1143,35
30244,769,08/26/2011,2011,CAM,Garrulus glandarius,1,563,25
30270,568,08/25/2011,2011,GEN,Garrulus glandarius,3,2360,25
30284,568,08/25/2011,2011,GEN,Garrulus glandarius,2,1950,25
30346,772,08/16/2011,2011,DIL,Garrulus glandarius,1,900,5
30350,772,08/16/2011,2011,DIL,Garrulus glandarius,1,953,5
30379,772,08/16/2011,2011,DIL,Garrulus glandarius,1,2090,5
30682,765,08/04/2011,2011,CAN,Garrulus glandarius,1,0,45
30700,567,07/27/2011,2011,GEN,Garrulus glandarius,2,1110,5
30712,567,07/27/2011,2011,GEN,Garrulus glandarius,2,1010,5
30718,567,07/27/2011,2011,GEN,Garrulus glandarius,1,1616,25
30997,756,07/08/2011,2011,CAM,Garrulus glandarius,1,358,25
31225,743,06/28/2011,2011,DIL,Garrulus glandarius,2,150,5
31243,743,06/28/2011,2011,DIL,Garrulus glandarius,2,1155,35
31494,564,06/20/2011,2011,GEN,Garrulus glandarius,1,3580,15
31627,748,06/10/2011,2011,CAN,Garrulus glandarius,1,700,35
31654,748,06/10/2011,2011,CAN,Garrulus glandarius,1,1806,5
31739,750,06/06/2011,2011,DIL,Garrulus glandarius,1,537,35
31928,734,05/22/2011,2011,CAM,Garrulus glandarius,2,650,25
31937,734,05/22/2011,2011,CAM,Garrulus glandarius,1,2204,25
32063,736,05/12/2011,2011,CAN,Garrulus glandarius,1,325,35
32078,736,05/12/2011,2011,CAN,Garrulus glandarius,1,425,15
32177,563,05/06/2011,2011,GEN,Garrulus glandarius,1,245,15
32297,729,04/25/2011,2011,CAM,Garrulus glandarius,1,1330,15
32305,729,04/25/2011,2011,CAM,Garrulus glandarius,1,612,25
32309,729,04/25/2011,2011,CAM,Garrulus glandarius,1,2238,25
32417,557,04/18/2011,2011,GEN,Garrulus glandarius,1,965,5
32422,557,04/18/2011,2011,GEN,Garrulus glandarius,4,115,5
32434,557,04/18/2011,2011,GEN,Garrulus glandarius,1,460,15
32437,557,04/18/2011,2011,GEN,Garrulus glandarius,1,390,15
32494,731,04/14/2011,2011,DIL,Garrulus glandarius,3,520,5
32523,731,04/14/2011,2011,DIL,Garrulus glandarius,1,1562,35
32535,731,04/14/2011,2011,DIL,Garrulus glandarius,3,430,45
32592,559,04/11/2011,2011,CAN,Garrulus glandarius,1,780,35
32628,559,04/11/2011,2011,CAN,Garrulus glandarius,1,130,45
32639,559,04/11/2011,2011,CAN,Garrulus glandarius,2,1305,25
32768,726,03/22/2011,2011,CAM,Garrulus glandarius,1,666,25
32796,726,03/22/2011,2011,CAM,Garrulus glandarius,1,1570,25
32828,550,03/16/2011,2011,GEN,Garrulus glandarius,2,280,5
32831,550,03/16/2011,2011,GEN,Garrulus glandarius,1,222,5
32833,550,03/16/2011,2011,GEN,Garrulus glandarius,2,2550,25
32842,550,03/16/2011,2011,GEN,Garrulus glandarius,2,2450,5
32943,551,03/01/2011,2011,CAN,Garrulus glandarius,1,610,45
32952,712,02/17/2011,2011,GEN,Garrulus glandarius,1,250,5
33052,543,01/25/2011,2011,GEN,Garrulus glandarius,1,510,35
33053,543,01/25/2011,2011,GEN,Garrulus glandarius,3,256,5
33054,543,01/25/2011,2011,GEN,Garrulus glandarius,1,196,5
33060,543,01/25/2011,2011,GEN,Garrulus glandarius,1,2200,35
33145,532,12/27/2010,2010,GEN,Garrulus glandarius,1,2400,45
33149,532,12/27/2010,2010,GEN,Garrulus glandarius,2,605,5
33152,532,12/27/2010,2010,GEN,Garrulus glandarius,1,990,45
33160,532,12/27/2010,2010,GEN,Garrulus glandarius,1,1160,5
33161,532,12/27/2010,2010,GEN,Garrulus glandarius,2,730,25
33293,534,12/04/2010,2010,CAN,Garrulus glandarius,1,725,35
33315,533,12/02/2010,2010,CAN,Garrulus glandarius,1,1125,35
33333,531,11/26/2010,2010,GEN,Garrulus glandarius,1,540,45
33363,527,11/12/2010,2010,DIL,Garrulus glandarius,1,1360,25
33367,527,11/12/2010,2010,DIL,Garrulus glandarius,2,417,5
33369,527,11/12/2010,2010,DIL,Garrulus glandarius,1,1000,45
33372,527,11/12/2010,2010,DIL,Garrulus glandarius,1,1420,45
33427,525,11/04/2010,2010,DIL,Garrulus glandarius,1,770,45
33627,518,10/16/2010,2010,CAN,Garrulus glandarius,1,170,45
33723,514,10/06/2010,2010,DIL,Garrulus glandarius,1,700,35
33904,510,09/16/2010,2010,CAM,Garrulus glandarius,1,612,15
33930,510,09/16/2010,2010,CAM,Garrulus glandarius,1,1871,35
34118,721,08/25/2010,2010,CAM,Garrulus glandarius,1,462,25
34138,721,08/25/2010,2010,CAM,Garrulus glandarius,2,769,25
34148,496,08/24/2010,2010,GEN,Garrulus glandarius,2,170,5
34157,496,08/24/2010,2010,GEN,Garrulus glandarius,1,655,35
34243,719,08/20/2010,2010,DIL,Garrulus glandarius,1,575,5
34248,719,08/20/2010,2010,DIL,Garrulus glandarius,2,1500,15
34267,719,08/20/2010,2010,DIL,Garrulus glandarius,1,1920,25
34327,716,08/16/2010,2010,CAN,Garrulus glandarius,1,517,45
34611,485,07/22/2010,2010,GEN,Garrulus glandarius,1,1380,25
34622,485,07/22/2010,2010,GEN,Garrulus glandarius,1,2260,45
34758,490,07/12/2010,2010,CAM,Garrulus glandarius,2,263,15
34819,482,07/09/2010,2010,DIL,Garrulus glandarius,1,575,5
34822,482,07/09/2010,2010,DIL,Garrulus glandarius,1,785,35
35064,478,06/23/2010,2010,CAM,Garrulus glandarius,1,144,25
35088,478,06/23/2010,2010,CAM,Garrulus glandarius,2,1088,5
35115,478,06/23/2010,2010,CAM,Garrulus glandarius,1,2218,25
35260,470,06/14/2010,2010,DIL,Garrulus glandarius,1,389,5
35291,470,06/14/2010,2010,DIL,Garrulus glandarius,1,1210,45
35301,470,06/14/2010,2010,DIL,Garrulus glandarius,2,1530,25
35322,469,06/09/2010,2010,GEN,Garrulus glandarius,1,400,5
35332,469,06/09/2010,2010,GEN,Garrulus glandarius,1,630,25
35358,469,06/09/2010,2010,GEN,Garrulus glandarius,1,2250,5
35416,467,06/08/2010,2010,CAN,Garrulus glandarius,1,615,45
35727,461,05/21/2010,2010,DIL,Garrulus glandarius,1,405,15
35754,461,05/21/2010,2010,DIL,Garrulus glandarius,2,1330,45
35773,466,05/18/2010,2010,CAM,Garrulus glandarius,1,170,15
35794,466,05/18/2010,2010,CAM,Garrulus glandarius,1,651,25
35831,466,05/18/2010,2010,CAM,Garrulus glandarius,2,2191,25
35899,458,05/10/2010,2010,GEN,Garrulus glandarius,1,1170,45
35906,458,05/10/2010,2010,GEN,Garrulus glandarius,1,1810,5
36092,445,04/21/2010,2010,CAM,Garrulus glandarius,1,65,15
36098,445,04/21/2010,2010,CAM,Garrulus glandarius,1,80,35
36131,445,04/21/2010,2010,CAM,Garrulus glandarius,1,440,35
36200,447,04/20/2010,2010,DIL,Garrulus glandarius,1,1490,35
36249,448,04/19/2010,2010,CAN,Garrulus glandarius,1,367,5
36280,448,04/19/2010,2010,CAN,Garrulus glandarius,1,1630,5
36311,449,04/18/2010,2010,GEN,Garrulus glandarius,2,693,25
36472,441,03/16/2010,2010,CAN,Garrulus glandarius,1,1020,35
36525,435,03/11/2010,2010,GEN,Garrulus glandarius,1,1690,35
36546,438,03/10/2010,2010,DIL,Garrulus glandarius,1,577,25
36789,383,12/01/2009,2009,CAM,Garrulus glandarius,1,1420,35
36876,421,11/16/2009,2009,DIL,Garrulus glandarius,1,540,35
36884,421,11/16/2009,2009,DIL,Garrulus glandarius,1,1140,45
36889,421,11/16/2009,2009,DIL,Garrulus glandarius,1,1470,5
36923,418,11/09/2009,2009,CAN,Garrulus glandarius,1,300,45
36926,418,11/09/2009,2009,CAN,Garrulus glandarius,1,319,5
36932,418,11/09/2009,2009,CAN,Garrulus glandarius,1,744,25
36952,418,11/09/2009,2009,CAN,Garrulus glandarius,1,2100,35
37041,414,10/26/2009,2009,CAN,Garrulus glandarius,1,380,45
37070,413,10/23/2009,2009,DIL,Garrulus glandarius,2,580,15
37077,413,10/23/2009,2009,DIL,Garrulus glandarius,1,864,25
37090,413,10/23/2009,2009,DIL,Garrulus glandarius,2,1720,45
37099,376,10/17/2009,2009,CAM,Garrulus glandarius,2,45,45
37112,376,10/17/2009,2009,CAM,Garrulus glandarius,2,754,5
37113,376,10/17/2009,2009,CAM,Garrulus glandarius,1,899,15
37114,376,10/17/2009,2009,CAM,Garrulus glandarius,2,909,35
37124,376,10/17/2009,2009,CAM,Garrulus glandarius,1,1640,5
37127,376,10/17/2009,2009,CAM,Garrulus glandarius,1,1930,5
37253,372,10/01/2009,2009,GEN,Garrulus glandarius,1,395,25
37259,372,10/01/2009,2009,GEN,Garrulus glandarius,1,687,35
37271,372,10/01/2009,2009,GEN,Garrulus glandarius,1,1590,15
37272,372,10/01/2009,2009,GEN,Garrulus glandarius,2,1690,45
37316,406,09/25/2009,2009,DIL,Garrulus glandarius,2,725,15
37329,406,09/25/2009,2009,DIL,Garrulus glandarius,2,1920,5
37362,359,09/24/2009,2009,CAM,Garrulus glandarius,2,190,10
37367,359,09/24/2009,2009,CAM,Garrulus glandarius,2,820,5
37370,359,09/24/2009,2009,CAM,Garrulus glandarius,1,950,45
37376,359,09/24/2009,2009,CAM,Garrulus glandarius,2,1230,15
37480,369,09/22/2009,2009,GEN,Garrulus glandarius,1,76,45
37484,369,09/22/2009,2009,GEN,Garrulus glandarius,1,532,5
37492,369,09/22/2009,2009,GEN,Garrulus glandarius,1,2230,25
37542,364,09/17/2009,2009,CAM,Garrulus glandarius,1,50,35
37549,364,09/17/2009,2009,CAM,Garrulus glandarius,1,180,15
37552,364,09/17/2009,2009,CAM,Garrulus glandarius,1,870,25
37553,364,09/17/2009,2009,CAM,Garrulus glandarius,1,870,25
37570,364,09/17/2009,2009,CAM,Garrulus glandarius,1,1810,15
37579,366,09/15/2009,2009,GEN,Garrulus glandarius,1,902,5
37620,402,09/11/2009,2009,CAN,Garrulus glandarius,1,270,15
37778,356,08/13/2009,2009,CAM,Garrulus glandarius,1,593,25
37779,356,08/13/2009,2009,CAM,Garrulus glandarius,1,723,5
37780,356,08/13/2009,2009,CAM,Garrulus glandarius,1,1190,35
37783,356,08/13/2009,2009,CAM,Garrulus glandarius,1,1220,25
37784,356,08/13/2009,2009,CAM,Garrulus glandarius,1,1250,5
37787,356,08/13/2009,2009,CAM,Garrulus glandarius,1,1310,5
37790,356,08/13/2009,2009,CAM,Garrulus glandarius,3,1400,15
37793,356,08/13/2009,2009,CAM,Garrulus glandarius,1,1560,15
37794,356,08/13/2009,2009,CAM,Garrulus glandarius,1,1630,15
37802,356,08/13/2009,2009,CAM,Garrulus glandarius,1,2350,5
37890,392,08/09/2009,2009,DIL,Garrulus glandarius,1,507,5
37902,392,08/09/2009,2009,DIL,Garrulus glandarius,1,1190,15
38003,334,07/27/2009,2009,CAM,Garrulus glandarius,1,5,15
38005,334,07/27/2009,2009,CAM,Garrulus glandarius,2,45,5
38022,334,07/27/2009,2009,CAM,Garrulus glandarius,1,1190,45
38026,334,07/27/2009,2009,CAM,Garrulus glandarius,1,1560,0
38027,334,07/27/2009,2009,CAM,Garrulus glandarius,1,1640,0
38034,335,07/22/2009,2009,GEN,Garrulus glandarius,1,201,45
38037,335,07/22/2009,2009,GEN,Garrulus glandarius,1,1250,45
38049,343,07/21/2009,2009,DIL,Garrulus glandarius,1,1920,45
38053,344,07/21/2009,2009,CAN,Garrulus glandarius,2,301,15
38354,320,06/30/2009,2009,CAM,Garrulus glandarius,1,137,5
38355,320,06/30/2009,2009,CAM,Garrulus glandarius,1,247,5
38361,320,06/30/2009,2009,CAM,Garrulus glandarius,1,924,25
38365,320,06/30/2009,2009,CAM,Garrulus glandarius,1,998,35
38374,320,06/30/2009,2009,CAM,Garrulus glandarius,1,1490,5
38379,320,06/30/2009,2009,CAM,Garrulus glandarius,1,1920,5
38430,327,06/27/2009,2009,DIL,Garrulus glandarius,1,2020,5
38610,331,06/15/2009,2009,GEN,Garrulus glandarius,1,657,45
38691,323,06/03/2009,2009,CAN,Garrulus glandarius,1,330,5
38724,323,06/03/2009,2009,CAN,Garrulus glandarius,1,1390,35
38809,312,05/22/2009,2009,DIL,Garrulus glandarius,1,735,35
38866,313,05/18/2009,2009,CAN,Garrulus glandarius,1,1770,45
38886,315,05/15/2009,2009,DIL,Garrulus glandarius,1,452,45
38962,299,05/13/2009,2009,CAM,Garrulus glandarius,1,260,5
38973,299,05/13/2009,2009,CAM,Garrulus glandarius,1,730,5
39033,301,05/13/2009,2009,GEN,Garrulus glandarius,2,2340,5
39116,316,05/06/2009,2009,CAN,Garrulus glandarius,1,870,35
39143,316,05/06/2009,2009,CAN,Garrulus glandarius,2,2150,15
39343,293,04/20/2009,2009,CAN,Garrulus glandarius,1,905,15
39346,293,04/20/2009,2009,CAN,Garrulus glandarius,1,1130,45
39360,293,04/20/2009,2009,CAN,Garrulus glandarius,2,1420,15
39363,293,04/20/2009,2009,CAN,Garrulus glandarius,1,1580,15
39415,294,04/20/2009,2009,DIL,Garrulus glandarius,1,1770,45
39449,284,04/14/2009,2009,CAM,Garrulus glandarius,1,600,25
39584,292,04/03/2009,2009,CAN,Garrulus glandarius,1,920,45
39648,288,04/02/2009,2009,GEN,Garrulus glandarius,1,294,5
39662,288,04/02/2009,2009,GEN,Garrulus glandarius,1,1050,5
39843,280,03/17/2009,2009,GEN,Garrulus glandarius,4,2200,45
39864,276,03/16/2009,2009,CAM,Garrulus glandarius,9,84,15
39873,276,03/16/2009,2009,CAM,Garrulus glandarius,4,434,35
39935,275,03/10/2009,2009,CAM,Garrulus glandarius,2,50,45
40089,264,02/23/2009,2009,GEN,Garrulus glandarius,1,159,5
40105,263,02/18/2009,2009,CAN,Garrulus glandarius,1,740,0
40111,263,02/18/2009,2009,CAN,Garrulus glandarius,1,1080,0
40179,269,02/09/2009,2009,CAM,Garrulus glandarius,1,270,15
40213,269,02/09/2009,2009,CAM,Garrulus glandarius,1,1711,45
40220,262,02/04/2009,2009,CAN,Garrulus glandarius,1,1140,5
40261,251,01/28/2009,2009,CAN,Garrulus glandarius,1,1550,35
40367,248,12/24/2008,2008,CAN,Garrulus glandarius,1,124,35
40368,248,12/24/2008,2008,CAN,Garrulus glandarius,1,358,45
40372,248,12/24/2008,2008,CAN,Garrulus glandarius,1,790,45
40373,248,12/24/2008,2008,CAN,Garrulus glandarius,1,962,45
40380,248,12/24/2008,2008,CAN,Garrulus glandarius,2,1660,5
40387,248,12/24/2008,2008,CAN,Garrulus glandarius,1,2280,35
40399,250,12/12/2008,2008,GEN,Garrulus glandarius,2,145,5
40424,207,12/10/2008,2008,CAM,Garrulus glandarius,1,81,45
40425,207,12/10/2008,2008,CAM,Garrulus glandarius,2,80,35
40434,207,12/10/2008,2008,CAM,Garrulus glandarius,2,1320,5
40444,247,12/10/2008,2008,CAN,Garrulus glandarius,1,106,5
40445,247,12/10/2008,2008,CAN,Garrulus glandarius,3,148,25
40450,247,12/10/2008,2008,CAN,Garrulus glandarius,3,320,5
40452,247,12/10/2008,2008,CAN,Garrulus glandarius,1,440,5
40454,247,12/10/2008,2008,CAN,Garrulus glandarius,1,627,15
40455,247,12/10/2008,2008,CAN,Garrulus glandarius,1,660,5
40466,247,12/10/2008,2008,CAN,Garrulus glandarius,1,2080,15
40468,247,12/10/2008,2008,CAN,Garrulus glandarius,3,2200,15
40476,247,12/10/2008,2008,CAN,Garrulus glandarius,1,660,15
40543,201,11/24/2008,2008,GEN,Garrulus glandarius,1,283,5
40544,201,11/24/2008,2008,GEN,Garrulus glandarius,1,383,5
40598,199,11/19/2008,2008,CAM,Garrulus glandarius,1,1340,5
40600,199,11/19/2008,2008,CAM,Garrulus glandarius,1,1420,15
40630,246,11/18/2008,2008,DIL,Garrulus glandarius,1,600,15
40631,246,11/18/2008,2008,DIL,Garrulus glandarius,1,650,5
40634,246,11/18/2008,2008,DIL,Garrulus glandarius,1,740,15
40750,198,11/09/2008,2008,CAM,Garrulus glandarius,4,25,5
40756,198,11/09/2008,2008,CAM,Garrulus glandarius,2,270,5
40760,198,11/09/2008,2008,CAM,Garrulus glandarius,1,500,45
40776,241,11/06/2008,2008,CAN,Garrulus glandarius,1,106,5
40780,241,11/06/2008,2008,CAN,Garrulus glandarius,1,193,5
40798,241,11/06/2008,2008,CAN,Garrulus glandarius,1,1980,5
40801,241,11/06/2008,2008,CAN,Garrulus glandarius,2,2090,15
40820,200,11/03/2008,2008,GEN,Garrulus glandarius,4,221,5
40822,200,11/03/2008,2008,GEN,Garrulus glandarius,2,300,45
40828,200,11/03/2008,2008,GEN,Garrulus glandarius,1,1060,15
40837,245,11/03/2008,2008,DIL,Garrulus glandarius,1,290,5
40843,245,11/03/2008,2008,DIL,Garrulus glandarius,1,460,45
40845,245,11/03/2008,2008,DIL,Garrulus glandarius,2,548,35
40863,245,11/03/2008,2008,DIL,Garrulus glandarius,2,1570,35
40887,179,10/29/2008,2008,DIL,Garrulus glandarius,1,500,5
40897,180,10/29/2008,2008,CAM,Garrulus glandarius,2,30,45
40898,180,10/29/2008,2008,CAM,Garrulus glandarius,1,140,5
41006,192,10/21/2008,2008,GEN,Garrulus glandarius,1,240,35
41026,192,10/21/2008,2008,GEN,Garrulus glandarius,2,2030,45
41063,228,10/17/2008,2008,CAN,Garrulus glandarius,2,105,15
41065,228,10/17/2008,2008,CAN,Garrulus glandarius,1,165,5
41069,228,10/17/2008,2008,CAN,Garrulus glandarius,1,322,25
41075,228,10/17/2008,2008,CAN,Garrulus glandarius,1,525,35
41080,228,10/17/2008,2008,CAN,Garrulus glandarius,1,735,25
41083,228,10/17/2008,2008,CAN,Garrulus glandarius,1,900,25
41090,228,10/17/2008,2008,CAN,Garrulus glandarius,0,1220,35
41144,185,10/08/2008,2008,DIL,Garrulus glandarius,1,410,5
41145,185,10/08/2008,2008,DIL,Garrulus glandarius,1,510,15
41151,185,10/08/2008,2008,DIL,Garrulus glandarius,1,1230,5
41157,185,10/08/2008,2008,DIL,Garrulus glandarius,1,1450,45
41158,191,10/08/2008,2008,GEN,Garrulus glandarius,1,294,5
41183,191,10/08/2008,2008,GEN,Garrulus glandarius,2,2120,35
41186,191,10/08/2008,2008,GEN,Garrulus glandarius,1,2280,25
41260,183,10/07/2008,2008,CAM,Garrulus glandarius,1,680,5
41261,183,10/07/2008,2008,CAM,Garrulus glandarius,2,720,5
41269,183,10/07/2008,2008,CAM,Garrulus glandarius,2,1090,25
41278,183,10/07/2008,2008,CAM,Garrulus glandarius,1,1370,5
41419,220,09/24/2008,2008,CAN,Garrulus glandarius,2,1180,5
41463,173,09/19/2008,2008,CAM,Garrulus glandarius,6,30,5
41471,173,09/19/2008,2008,CAM,Garrulus glandarius,1,610,35
41473,173,09/19/2008,2008,CAM,Garrulus glandarius,1,760,5
41474,173,09/19/2008,2008,CAM,Garrulus glandarius,1,790,5
41476,173,09/19/2008,2008,CAM,Garrulus glandarius,1,780,5
41477,173,09/19/2008,2008,CAM,Garrulus glandarius,1,810,15
41479,173,09/19/2008,2008,CAM,Garrulus glandarius,1,1100,5
41480,173,09/19/2008,2008,CAM,Garrulus glandarius,2,1120,15
41481,173,09/19/2008,2008,CAM,Garrulus glandarius,1,1140,5
41483,173,09/19/2008,2008,CAM,Garrulus glandarius,1,1210,15
41492,173,09/19/2008,2008,CAM,Garrulus glandarius,3,1400,5
41494,173,09/19/2008,2008,CAM,Garrulus glandarius,1,1480,5
41503,173,09/19/2008,2008,CAM,Garrulus glandarius,1,1650,15
41520,173,09/19/2008,2008,CAM,Garrulus glandarius,1,2350,25
41544,171,09/12/2008,2008,DIL,Garrulus glandarius,1,310,15
41568,171,09/12/2008,2008,DIL,Garrulus glandarius,1,1260,5
41574,171,09/12/2008,2008,DIL,Garrulus glandarius,1,1340,35
41587,176,09/12/2008,2008,GEN,Garrulus glandarius,1,1660,35
41599,176,09/12/2008,2008,GEN,Garrulus glandarius,1,2370,5
41715,161,08/29/2008,2008,DIL,Garrulus glandarius,1,1520,15
41717,161,08/29/2008,2008,DIL,Garrulus glandarius,1,1870,5
41748,162,08/20/2008,2008,CAM,Garrulus glandarius,1,120,5
41754,162,08/20/2008,2008,CAM,Garrulus glandarius,1,540,5
41759,162,08/20/2008,2008,CAM,Garrulus glandarius,2,760,5
41761,162,08/20/2008,2008,CAM,Garrulus glandarius,1,930,15
41762,162,08/20/2008,2008,CAM,Garrulus glandarius,1,950,25
41763,162,08/20/2008,2008,CAM,Garrulus glandarius,1,1020,15
41769,162,08/20/2008,2008,CAM,Garrulus glandarius,1,1450,5
41771,162,08/20/2008,2008,CAM,Garrulus glandarius,1,1530,5
41772,162,08/20/2008,2008,CAM,Garrulus glandarius,1,1620,15
41779,162,08/20/2008,2008,CAM,Garrulus glandarius,1,2170,5
41783,162,08/20/2008,2008,CAM,Garrulus glandarius,2,2210,5
41818,165,08/13/2008,2008,GEN,Garrulus glandarius,1,350,5
41837,165,08/13/2008,2008,GEN,Garrulus glandarius,1,2200,5
41838,165,08/13/2008,2008,GEN,Garrulus glandarius,1,2250,35
41849,215,08/11/2008,2008,CAN,Garrulus glandarius,1,1285,15
41855,215,08/11/2008,2008,CAN,Garrulus glandarius,1,2325,5
41975,164,08/01/2008,2008,GEN,Garrulus glandarius,1,367,15
41979,164,08/01/2008,2008,GEN,Garrulus glandarius,1,1290,25
41985,164,08/01/2008,2008,GEN,Garrulus glandarius,1,1990,35
41994,164,08/01/2008,2008,GEN,Garrulus glandarius,2,2280,45
41995,164,08/01/2008,2008,GEN,Garrulus glandarius,1,2390,25
42092,157,07/14/2008,2008,CAN,Garrulus glandarius,1,1800,5
42100,158,07/11/2008,2008,DIL,Garrulus glandarius,1,390,45
42107,158,07/11/2008,2008,DIL,Garrulus glandarius,1,1300,5
42388,155,07/02/2008,2008,GEN,Garrulus glandarius,1,398,25
42390,155,07/02/2008,2008,GEN,Garrulus glandarius,1,505,5
42404,155,07/02/2008,2008,GEN,Garrulus glandarius,3,1800,5
42405,155,07/02/2008,2008,GEN,Garrulus glandarius,1,1860,45
42437,142,07/01/2008,2008,CAM,Garrulus glandarius,1,50,5
42440,142,07/01/2008,2008,CAM,Garrulus glandarius,1,180,5
42442,142,07/01/2008,2008,CAM,Garrulus glandarius,1,320,5
42447,142,07/01/2008,2008,CAM,Garrulus glandarius,1,770,5
42463,142,07/01/2008,2008,CAM,Garrulus glandarius,1,1750,15
42516,129,06/27/2008,2008,DIL,Garrulus glandarius,1,1160,35
42517,129,06/27/2008,2008,DIL,Garrulus glandarius,1,1170,5
42523,129,06/27/2008,2008,DIL,Garrulus glandarius,1,1280,5
42530,129,06/27/2008,2008,DIL,Garrulus glandarius,2,2000,45
42691,135,06/18/2008,2008,CAN,Garrulus glandarius,1,840,45
42697,135,06/18/2008,2008,CAN,Garrulus glandarius,2,1160,45
42707,135,06/18/2008,2008,CAN,Garrulus glandarius,1,1680,35
42713,135,06/18/2008,2008,CAN,Garrulus glandarius,2,2140,5
42861,125,06/16/2008,2008,GEN,Garrulus glandarius,1,160,35
42868,125,06/16/2008,2008,GEN,Garrulus glandarius,1,551,45
42907,119,06/16/2008,2008,CAM,Garrulus glandarius,1,400,15
42927,119,06/16/2008,2008,CAM,Garrulus glandarius,1,1530,45
42943,119,06/16/2008,2008,CAM,Garrulus glandarius,1,2060,5
43030,128,06/10/2008,2008,DIL,Garrulus glandarius,1,63,45
43035,128,06/10/2008,2008,DIL,Garrulus glandarius,1,292,25
43057,128,06/10/2008,2008,DIL,Garrulus glandarius,1,975,15
43253,124,06/05/2008,2008,GEN,Garrulus glandarius,1,1870,25
43257,124,06/05/2008,2008,GEN,Garrulus glandarius,1,1960,15
43298,134,06/04/2008,2008,CAN,Garrulus glandarius,1,371,25
43310,134,06/04/2008,2008,CAN,Garrulus glandarius,1,975,25
43351,134,06/04/2008,2008,CAN,Garrulus glandarius,1,2320,15
43358,134,06/04/2008,2008,CAN,Garrulus glandarius,1,2420,5
43461,118,06/03/2008,2008,CAM,Garrulus glandarius,1,250,15
43465,118,06/03/2008,2008,CAM,Garrulus glandarius,1,450,5
43469,118,06/03/2008,2008,CAM,Garrulus glandarius,2,650,5
43484,118,06/03/2008,2008,CAM,Garrulus glandarius,1,1210,5
43549,98,05/28/2008,2008,DIL,Garrulus glandarius,1,466,35
43557,98,05/28/2008,2008,DIL,Garrulus glandarius,1,690,5
43561,98,05/28/2008,2008,DIL,Garrulus glandarius,1,740,15
43571,98,05/28/2008,2008,DIL,Garrulus glandarius,2,970,15
43577,98,05/28/2008,2008,DIL,Garrulus glandarius,1,1190,15
43584,98,05/28/2008,2008,DIL,Garrulus glandarius,3,1350,25
43589,98,05/28/2008,2008,DIL,Garrulus glandarius,1,1490,5
43667,108,05/26/2008,2008,CAM,Garrulus glandarius,1,180,5
43671,108,05/26/2008,2008,CAM,Garrulus glandarius,2,380,25
43683,108,05/26/2008,2008,CAM,Garrulus glandarius,1,670,5
43684,108,05/26/2008,2008,CAM,Garrulus glandarius,1,700,5
43685,108,05/26/2008,2008,CAM,Garrulus glandarius,2,720,5
43688,108,05/26/2008,2008,CAM,Garrulus glandarius,1,830,5
43746,94,05/21/2008,2008,CAN,Garrulus glandarius,1,220,35
43775,94,05/21/2008,2008,CAN,Garrulus glandarius,2,1240,15
43797,94,05/21/2008,2008,CAN,Garrulus glandarius,2,2030,5
43802,94,05/21/2008,2008,CAN,Garrulus glandarius,1,2210,5
43983,107,05/15/2008,2008,CAM,Garrulus glandarius,2,119,45
43987,107,05/15/2008,2008,CAM,Garrulus glandarius,2,280,45
43988,107,05/15/2008,2008,CAM,Garrulus glandarius,1,300,25
43990,107,05/15/2008,2008,CAM,Garrulus glandarius,1,414,5
43991,107,05/15/2008,2008,CAM,Garrulus glandarius,1,460,5
43996,107,05/15/2008,2008,CAM,Garrulus glandarius,1,512,45
43998,107,05/15/2008,2008,CAM,Garrulus glandarius,2,780,25
44024,107,05/15/2008,2008,CAM,Garrulus glandarius,1,1860,5
44107,99,05/13/2008,2008,GEN,Garrulus glandarius,1,1550,5
44179,97,05/12/2008,2008,DIL,Garrulus glandarius,1,1320,35
44188,97,05/12/2008,2008,DIL,Garrulus glandarius,1,1480,5
44212,93,05/07/2008,2008,CAN,Garrulus glandarius,1,91,25
44215,93,05/07/2008,2008,CAN,Garrulus glandarius,1,155,35
44228,93,05/07/2008,2008,CAN,Garrulus glandarius,1,455,5
44246,93,05/07/2008,2008,CAN,Garrulus glandarius,1,1280,15
44248,93,05/07/2008,2008,CAN,Garrulus glandarius,1,1300,5
44493,90,04/25/2008,2008,DIL,Garrulus glandarius,1,685,45
44497,90,04/25/2008,2008,DIL,Garrulus glandarius,1,790,45
44498,90,04/25/2008,2008,DIL,Garrulus glandarius,1,868,45
44516,90,04/25/2008,2008,DIL,Garrulus glandarius,3,1180,5
44521,90,04/25/2008,2008,DIL,Garrulus glandarius,2,1210,5
44539,90,04/25/2008,2008,DIL,Garrulus glandarius,1,1910,35
44615,72,04/23/2008,2008,CAM,Garrulus glandarius,1,1920,45
44634,86,04/22/2008,2008,CAN,Garrulus glandarius,4,300,25
