Ord,PK_VISITAS,FECHA,year,loc,specie,n,dis,desp
17372,1094,07/24/2014,2014,GEN,Carduelis cannabina,3,2093,35
30187,782,09/10/2011,2011,CAM,Carduelis cannabina,4,1123,25
30650,765,08/04/2011,2011,CAN,Carduelis cannabina,11,300,5
32192,563,05/06/2011,2011,GEN,Carduelis cannabina,2,500,5
32193,563,05/06/2011,2011,GEN,Carduelis cannabina,2,400,45
33944,510,09/16/2010,2010,CAM,Carduelis cannabina,2,1111,5
40904,180,10/29/2008,2008,CAM,Carduelis cannabina,1,410,45
40916,180,10/29/2008,2008,CAM,Carduelis cannabina,8,1210,45
41257,183,10/07/2008,2008,CAM,Carduelis cannabina,2,550,5
41273,183,10/07/2008,2008,CAM,Carduelis cannabina,2,1210,45
41275,183,10/07/2008,2008,CAM,Carduelis cannabina,1,1300,45
41490,173,09/19/2008,2008,CAM,Carduelis cannabina,1,1320,45
41747,162,08/20/2008,2008,CAM,Carduelis cannabina,1,90,5
41826,165,08/13/2008,2008,GEN,Carduelis cannabina,1,1540,15
41830,165,08/13/2008,2008,GEN,Carduelis cannabina,1,1800,45
41831,165,08/13/2008,2008,GEN,Carduelis cannabina,1,1850,15
42090,157,07/14/2008,2008,CAN,Carduelis cannabina,3,150,45
42916,119,06/16/2008,2008,CAM,Carduelis cannabina,4,1200,45
42939,119,06/16/2008,2008,CAM,Carduelis cannabina,1,1890,45
43870,100,05/20/2008,2008,GEN,Carduelis cannabina,1,410,45
43887,100,05/20/2008,2008,GEN,Carduelis cannabina,1,1580,5
43890,100,05/20/2008,2008,GEN,Carduelis cannabina,1,1750,5
44001,107,05/15/2008,2008,CAM,Carduelis cannabina,1,900,15
44002,107,05/15/2008,2008,CAM,Carduelis cannabina,2,910,15
44021,107,05/15/2008,2008,CAM,Carduelis cannabina,2,1690,45
7993,1417,08/11/2016,2016,DIL,Accipiter gentilis,1,490,5
16955,1054,08/29/2014,2014,GEN,Accipiter gentilis,1,949,5
11945,1179,09/10/2015,2015,CAN,Accipiter nisus,1,1714,40
12445,1165,08/04/2015,2015,CAN,Accipiter nisus,1,722,20
13637,1149,06/03/2015,2015,DIL,Accipiter nisus,1,1250,40
14733,1142,04/13/2015,2015,CAN,Accipiter nisus,1,426,5
25982,678,08/06/2012,2012,DIL,Accipiter nisus,1,233,35
33120,545,01/11/2011,2011,CAN,Accipiter nisus,1,390,25
5,1714,02/21/2020,2020,GEN,Aegithalos caudatus,4,0,.
51,1695,12/28/2019,2019,GEN,Aegithalos caudatus,6,0,.
60,1680,12/18/2019,2019,DIL,Aegithalos caudatus,2,0,.
116,1754,11/29/2019,2019,CAM,Aegithalos caudatus,12,0,.
125,1696,11/27/2019,2019,DIL,Aegithalos caudatus,3,0,.
197,1764,10/25/2019,2019,DIL,Aegithalos caudatus,3,0,.
331,1729,09/26/2019,2019,DIL,Aegithalos caudatus,2,0,.
382,1662,09/12/2019,2019,GEN,Aegithalos caudatus,2,0,.
420,1749,08/30/2019,2019,GEN,Aegithalos caudatus,1,0,.
652,1740,07/04/2019,2019,CAM,Aegithalos caudatus,2,0,.
724,1672,06/28/2019,2019,DIL,Aegithalos caudatus,3,0,.
737,1697,06/28/2019,2019,GEN,Aegithalos caudatus,2,0,.
884,1632,05/17/2019,2019,GEN,Aegithalos caudatus,6,0,.
923,1737,05/03/2019,2019,DIL,Aegithalos caudatus,2,0,.
1107,1726,03/19/2019,2019,CAM,Aegithalos caudatus,4,0,.
1125,1716,03/14/2019,2019,GEN,Aegithalos caudatus,4,0,.
1167,1727,03/12/2019,2019,DIL,Aegithalos caudatus,5,0,.
1225,1635,02/15/2019,2019,GEN,Aegithalos caudatus,3,0,.
1251,1742,02/14/2019,2019,CAM,Aegithalos caudatus,1,0,.
1261,1744,02/07/2019,2019,DIL,Aegithalos caudatus,4,0,.
1322,1745,01/18/2019,2019,DIL,Aegithalos caudatus,3,0,.
1336,1629,01/16/2019,2019,GEN,Aegithalos caudatus,2,1,.
1351,1747,01/09/2019,2019,CAM,Aegithalos caudatus,1,0,.
1449,1537,12/18/2018,2018,DIL,Aegithalos caudatus,1,120,0
1451,1537,12/18/2018,2018,DIL,Aegithalos caudatus,1,103,0
1457,1581,12/14/2018,2018,GEN,Aegithalos caudatus,6,200,0
1463,1581,12/14/2018,2018,GEN,Aegithalos caudatus,3,2487,0
1465,1581,12/14/2018,2018,GEN,Aegithalos caudatus,4,1489,10
1509,1573,12/11/2018,2018,CAM,Aegithalos caudatus,1,1602,0
1613,1536,11/16/2018,2018,DIL,Aegithalos caudatus,4,2237,0
1752,1584,10/25/2018,2018,GEN,Aegithalos caudatus,1,1180,10
1766,1584,10/25/2018,2018,GEN,Aegithalos caudatus,3,383,30
1794,1584,10/25/2018,2018,GEN,Aegithalos caudatus,1,1180,10
1796,1569,10/23/2018,2018,CAM,Aegithalos caudatus,6,2496,0
1798,1569,10/23/2018,2018,CAM,Aegithalos caudatus,6,2976,0
1828,1569,10/23/2018,2018,CAM,Aegithalos caudatus,6,51,0
1887,1535,10/15/2018,2018,DIL,Aegithalos caudatus,5,2802,0
2044,1594,09/25/2018,2018,GEN,Aegithalos caudatus,4,216,0
2404,1562,08/09/2018,2018,CAM,Aegithalos caudatus,1,2981,0
2412,1562,08/09/2018,2018,CAM,Aegithalos caudatus,1,28,0
2420,1562,08/09/2018,2018,CAM,Aegithalos caudatus,1,3001,0
2429,1562,08/09/2018,2018,CAM,Aegithalos caudatus,1,2961,0
2518,1533,07/31/2018,2018,DIL,Aegithalos caudatus,1,3176,10
2578,1570,07/30/2018,2018,GEN,Aegithalos caudatus,1,1315,0
2609,1570,07/30/2018,2018,GEN,Aegithalos caudatus,2,1671,10
2662,1564,07/24/2018,2018,CAM,Aegithalos caudatus,1,2493,0
3154,1572,04/26/2018,2018,GEN,Aegithalos caudatus,2,88,0
3156,1572,04/26/2018,2018,GEN,Aegithalos caudatus,2,2160,0
3163,1572,04/26/2018,2018,GEN,Aegithalos caudatus,2,1830,10
3513,1453,02/16/2018,2018,CAM,Aegithalos caudatus,18,0,.
3532,1453,02/16/2018,2018,CAM,Aegithalos caudatus,21,10,.
3575,1566,01/31/2018,2018,CAN,Aegithalos caudatus,5,1290,0
3596,1530,01/31/2018,2018,CAN,Aegithalos caudatus,3,1290,0
3763,1476,12/04/2017,2017,GEN,Aegithalos caudatus,1,885,30
3849,1483,11/17/2017,2017,GEN,Aegithalos caudatus,3,2125,0
4025,1485,10/27/2017,2017,GEN,Aegithalos caudatus,8,1178,30
4034,1485,10/27/2017,2017,GEN,Aegithalos caudatus,8,1178,30
4038,1485,10/27/2017,2017,GEN,Aegithalos caudatus,2,2450,10
4264,1445,09/28/2017,2017,GEN,Aegithalos caudatus,4,1670,40
4325,1463,09/19/2017,2017,CAN,Aegithalos caudatus,3,1540,0
4545,1498,08/21/2017,2017,CAM,Aegithalos caudatus,4,440,30
4664,1499,08/16/2017,2017,GEN,Aegithalos caudatus,5,1042,0
5308,1401,06/16/2017,2017,DIL,Aegithalos caudatus,1,1243,40
5335,1401,06/16/2017,2017,DIL,Aegithalos caudatus,3,860,40
5345,1401,06/16/2017,2017,DIL,Aegithalos caudatus,6,895,5
5691,1471,05/23/2017,2017,CAM,Aegithalos caudatus,4,1096,10
6047,1413,04/20/2017,2017,DIL,Aegithalos caudatus,1,500,20
6050,1413,04/20/2017,2017,DIL,Aegithalos caudatus,1,920,20
6082,1413,04/20/2017,2017,DIL,Aegithalos caudatus,1,1220,5
6168,1412,03/30/2017,2017,DIL,Aegithalos caudatus,1,2350,5
6170,1412,03/30/2017,2017,DIL,Aegithalos caudatus,1,1400,20
6173,1412,03/30/2017,2017,DIL,Aegithalos caudatus,1,2250,5
6177,1412,03/30/2017,2017,DIL,Aegithalos caudatus,2,1180,5
6325,1488,03/22/2017,2017,CAM,Aegithalos caudatus,4,2133,0
6414,1492,02/27/2017,2017,DIL,Aegithalos caudatus,1,2310,0
6424,1492,02/27/2017,2017,DIL,Aegithalos caudatus,1,1220,30
6429,1492,02/27/2017,2017,DIL,Aegithalos caudatus,6,500,10
6438,1492,02/27/2017,2017,DIL,Aegithalos caudatus,1,567,0
6446,1492,02/27/2017,2017,DIL,Aegithalos caudatus,2,795,10
6453,1492,02/27/2017,2017,DIL,Aegithalos caudatus,1,1035,30
6554,1500,02/21/2017,2017,CAM,Aegithalos caudatus,6,1175,30
6556,1500,02/21/2017,2017,CAM,Aegithalos caudatus,2,80,30
6557,1500,02/21/2017,2017,CAM,Aegithalos caudatus,4,142,10
6559,1500,02/21/2017,2017,CAM,Aegithalos caudatus,4,455,10
6560,1500,02/21/2017,2017,CAM,Aegithalos caudatus,1,1163,0
6564,1500,02/21/2017,2017,CAM,Aegithalos caudatus,2,398,0
6568,1500,02/21/2017,2017,CAM,Aegithalos caudatus,1,826,30
6574,1500,02/21/2017,2017,CAM,Aegithalos caudatus,2,846,0
6582,1500,02/21/2017,2017,CAM,Aegithalos caudatus,1,1126,10
6598,1500,02/21/2017,2017,CAM,Aegithalos caudatus,4,2137,10
6682,1506,01/16/2017,2017,GEN,Aegithalos caudatus,1,1300,30
6688,1506,01/16/2017,2017,GEN,Aegithalos caudatus,1,1165,10
6767,1511,12/22/2016,2016,CAM,Aegithalos caudatus,2,1320,0
6774,1511,12/22/2016,2016,CAM,Aegithalos caudatus,4,2030,0
6777,1511,12/22/2016,2016,CAM,Aegithalos caudatus,4,1870,10
6778,1511,12/22/2016,2016,CAM,Aegithalos caudatus,6,1790,0
6782,1511,12/22/2016,2016,CAM,Aegithalos caudatus,4,597,0
6813,1511,12/22/2016,2016,CAM,Aegithalos caudatus,2,2120,0
6816,1511,12/22/2016,2016,CAM,Aegithalos caudatus,4,1530,0
7008,1522,11/15/2016,2016,DIL,Aegithalos caudatus,3,1590,0
7171,1528,10/31/2016,2016,GEN,Aegithalos caudatus,2,1500,10
7186,1528,10/31/2016,2016,GEN,Aegithalos caudatus,5,815,0
7194,1528,10/31/2016,2016,GEN,Aegithalos caudatus,2,1430,10
7199,1528,10/31/2016,2016,GEN,Aegithalos caudatus,5,2140,0
7202,1528,10/31/2016,2016,GEN,Aegithalos caudatus,3,275,0
7274,1364,10/28/2016,2016,DIL,Aegithalos caudatus,6,344,5
7288,1364,10/28/2016,2016,DIL,Aegithalos caudatus,1,1646,5
7507,1328,09/30/2016,2016,CAN,Aegithalos caudatus,3,1170,0
7529,1426,09/29/2016,2016,GEN,Aegithalos caudatus,1,1510,20
7644,1351,09/16/2016,2016,DIL,Aegithalos caudatus,5,405,5
7645,1351,09/16/2016,2016,DIL,Aegithalos caudatus,6,2288,20
7650,1351,09/16/2016,2016,DIL,Aegithalos caudatus,4,1260,5
7794,1455,08/30/2016,2016,CAM,Aegithalos caudatus,4,1,10
7807,1455,08/30/2016,2016,CAM,Aegithalos caudatus,8,895,0
7826,1455,08/30/2016,2016,CAM,Aegithalos caudatus,6,2,10
7973,1417,08/11/2016,2016,DIL,Aegithalos caudatus,3,1443,20
7978,1417,08/11/2016,2016,DIL,Aegithalos caudatus,2,1526,5
8126,1397,07/31/2016,2016,CAM,Aegithalos caudatus,4,2310,5
8136,1397,07/31/2016,2016,CAM,Aegithalos caudatus,6,69,20
8162,1397,07/31/2016,2016,CAM,Aegithalos caudatus,1,820,20
8168,1397,07/31/2016,2016,CAM,Aegithalos caudatus,4,1930,5
8292,1347,07/07/2016,2016,DIL,Aegithalos caudatus,2,500,20
8551,1339,06/29/2016,2016,DIL,Aegithalos caudatus,1,1320,20
8849,1317,05/31/2016,2016,DIL,Aegithalos caudatus,1,1350,5
8951,1387,05/31/2016,2016,CAM,Aegithalos caudatus,4,50,5
9308,1344,04/27/2016,2016,CAM,Aegithalos caudatus,2,2360,20
9515,1341,04/26/2016,2016,DIL,Aegithalos caudatus,3,1213,5
