id,specie,numero,distancia,desplazamiento,loc,date,year,nombre
2,Turdus viscivorus,1,1500,45,CAN,2007-12-27,2007,Robledal de Cáñar
3,Turdus viscivorus,1,1830,5,CAN,2007-12-27,2007,Robledal de Cáñar
4,Turdus viscivorus,1,2200,5,CAN,2007-12-27,2007,Robledal de Cáñar
5,Erithacus rubecula,1,120,5,CAM,2007-11-28,2007,Dehesa del Camarate
6,Turdus viscivorus,1,670,35,CAM,2007-11-28,2007,Dehesa del Camarate
7,Turdus viscivorus,1,1000,45,CAM,2007-11-28,2007,Dehesa del Camarate
8,Turdus merula,1,1250,45,CAM,2007-11-28,2007,Dehesa del Camarate
9,Turdus merula,1,2150,5,CAM,2007-11-28,2007,Dehesa del Camarate
10,Garrulus glandarius,1,660,35,CAM,2007-12-07,2007,Dehesa del Camarate
11,Turdus merula,1,1200,25,CAM,2007-12-07,2007,Dehesa del Camarate
12,Turdus viscivorus,2,1280,15,CAM,2007-12-07,2007,Dehesa del Camarate
13,Turdus merula,1,1800,5,CAM,2007-12-07,2007,Dehesa del Camarate
14,Turdus merula,1,1960,5,CAM,2007-12-07,2007,Dehesa del Camarate
15,Turdus merula,2,50,5,CAM,2007-12-18,2007,Dehesa del Camarate
16,Garrulus glandarius,1,100,5,CAM,2007-12-18,2007,Dehesa del Camarate
17,Garrulus glandarius,1,105,5,CAM,2007-12-18,2007,Dehesa del Camarate
18,Turdus merula,1,430,5,CAM,2007-12-18,2007,Dehesa del Camarate
19,Turdus merula,1,1200,5,CAM,2007-12-18,2007,Dehesa del Camarate
20,Turdus viscivorus,1,1200,5,CAM,2007-12-18,2007,Dehesa del Camarate
21,Turdus merula,1,1600,25,CAM,2007-12-18,2007,Dehesa del Camarate
22,Garrulus glandarius,1,1880,5,CAM,2007-12-18,2007,Dehesa del Camarate
23,Garrulus glandarius,1,2060,5,CAM,2007-12-18,2007,Dehesa del Camarate
42,Garrulus glandarius,1,10,5,CAM,2007-12-27,2007,Dehesa del Camarate
43,Garrulus glandarius,1,400,45,CAM,2007-12-27,2007,Dehesa del Camarate
44,Turdus merula,1,1000,45,CAM,2007-12-27,2007,Dehesa del Camarate
45,Turdus merula,1,1100,45,CAM,2007-12-27,2007,Dehesa del Camarate
46,Turdus merula,1,1100,5,CAM,2007-12-27,2007,Dehesa del Camarate
47,Turdus viscivorus,1,1100,5,CAM,2007-12-27,2007,Dehesa del Camarate
48,Turdus merula,1,1100,5,CAM,2007-12-27,2007,Dehesa del Camarate
49,Turdus merula,1,1100,45,CAM,2007-12-27,2007,Dehesa del Camarate
50,Erithacus rubecula,1,1200,5,CAM,2007-12-27,2007,Dehesa del Camarate
51,Turdus merula,1,1640,5,CAM,2007-12-27,2007,Dehesa del Camarate
52,Turdus merula,1,2130,45,CAM,2007-12-27,2007,Dehesa del Camarate
53,Turdus merula,1,2180,5,CAM,2007-12-27,2007,Dehesa del Camarate
226,Garrulus glandarius,1,150,45,CAN,2007-11-20,2007,Robledal de Cáñar
227,Garrulus glandarius,1,1700,45,CAN,2007-11-20,2007,Robledal de Cáñar
228,Garrulus glandarius,4,170,45,CAN,2007-11-29,2007,Robledal de Cáñar
229,Garrulus glandarius,1,345,5,CAN,2007-11-29,2007,Robledal de Cáñar
230,Garrulus glandarius,1,345,45,CAN,2007-11-29,2007,Robledal de Cáñar
231,Garrulus glandarius,1,890,5,CAN,2007-11-29,2007,Robledal de Cáñar
232,Garrulus glandarius,1,1170,15,CAN,2007-11-29,2007,Robledal de Cáñar
233,Garrulus glandarius,1,1200,5,CAN,2007-11-29,2007,Robledal de Cáñar
234,Garrulus glandarius,1,1350,45,CAN,2007-11-29,2007,Robledal de Cáñar
235,Garrulus glandarius,1,2360,45,CAN,2007-11-29,2007,Robledal de Cáñar
236,Garrulus glandarius,1,350,25,CAN,2007-12-15,2007,Robledal de Cáñar
237,Garrulus glandarius,1,595,15,CAN,2007-12-15,2007,Robledal de Cáñar
238,Garrulus glandarius,1,1040,45,CAN,2007-12-15,2007,Robledal de Cáñar
239,Garrulus glandarius,1,1920,15,CAN,2007-12-15,2007,Robledal de Cáñar
240,Turdus viscivorus,1,100,45,GEN,2007-11-19,2007,Cortijo del Hornillo
241,Turdus viscivorus,1,370,5,GEN,2007-11-19,2007,Cortijo del Hornillo
242,Turdus viscivorus,1,2100,45,GEN,2007-11-19,2007,Cortijo del Hornillo
243,Turdus merula,1,2120,5,GEN,2007-11-19,2007,Cortijo del Hornillo
244,Turdus merula,1,2180,5,GEN,2007-11-19,2007,Cortijo del Hornillo
245,Turdus iliacus,1,2180,5,GEN,2007-11-19,2007,Cortijo del Hornillo
246,Turdus iliacus,1,2250,5,GEN,2007-11-19,2007,Cortijo del Hornillo
247,Erithacus rubecula,1,2300,5,GEN,2007-11-19,2007,Cortijo del Hornillo
248,Turdus merula,1,350,5,GEN,2007-12-11,2007,Cortijo del Hornillo
249,Turdus merula,1,1500,15,GEN,2007-12-11,2007,Cortijo del Hornillo
250,Turdus merula,1,1560,15,GEN,2007-12-11,2007,Cortijo del Hornillo
251,Turdus viscivorus,1,1770,15,GEN,2007-12-11,2007,Cortijo del Hornillo
252,Garrulus glandarius,1,300,15,GEN,2007-12-18,2007,Cortijo del Hornillo
253,Erithacus rubecula,1,1450,5,GEN,2007-12-18,2007,Cortijo del Hornillo
254,Turdus merula,1,1500,15,GEN,2007-12-18,2007,Cortijo del Hornillo
255,Garrulus glandarius,2,2000,45,GEN,2007-12-18,2007,Cortijo del Hornillo
256,Turdus merula,1,2250,5,GEN,2007-12-18,2007,Cortijo del Hornillo
267,Turdus merula,1,560,25,DIL,2007-11-15,2007,Robledal de Dílar
268,Turdus iliacus,4,588,45,DIL,2007-11-15,2007,Robledal de Dílar
269,Turdus viscivorus,2,588,45,DIL,2007-11-15,2007,Robledal de Dílar
270,Erithacus rubecula,1,738,15,DIL,2007-11-15,2007,Robledal de Dílar
271,Turdus merula,1,858,35,DIL,2007-11-15,2007,Robledal de Dílar
272,Garrulus glandarius,1,1050,15,DIL,2007-11-15,2007,Robledal de Dílar
273,Turdus merula,1,1100,25,DIL,2007-11-15,2007,Robledal de Dílar
274,Turdus merula,1,1150,5,DIL,2007-11-15,2007,Robledal de Dílar
275,Erithacus rubecula,1,1400,5,DIL,2007-11-15,2007,Robledal de Dílar
276,Turdus merula,1,1480,35,DIL,2007-11-15,2007,Robledal de Dílar
277,Turdus merula,3,1760,5,DIL,2007-11-15,2007,Robledal de Dílar
278,Turdus merula,6,1960,5,DIL,2007-11-15,2007,Robledal de Dílar
279,Garrulus glandarius,2,2100,25,DIL,2007-11-15,2007,Robledal de Dílar
280,Turdus torquatus,1,2130,45,DIL,2007-11-15,2007,Robledal de Dílar
281,Garrulus glandarius,2,2130,45,DIL,2007-11-15,2007,Robledal de Dílar
282,Turdus merula,1,575,5,DIL,2007-11-30,2007,Robledal de Dílar
283,Turdus merula,2,660,25,DIL,2007-11-30,2007,Robledal de Dílar
284,Turdus merula,1,660,5,DIL,2007-11-30,2007,Robledal de Dílar
285,Turdus merula,1,1120,5,DIL,2007-11-30,2007,Robledal de Dílar
286,Garrulus glandarius,2,1770,5,DIL,2007-11-30,2007,Robledal de Dílar
287,Turdus merula,2,1770,5,DIL,2007-11-30,2007,Robledal de Dílar
288,Turdus merula,2,1770,15,DIL,2007-11-30,2007,Robledal de Dílar
289,Turdus iliacus,4,2080,15,DIL,2007-11-30,2007,Robledal de Dílar
290,Garrulus glandarius,2,2130,45,DIL,2007-11-30,2007,Robledal de Dílar
291,Garrulus glandarius,1,2130,15,DIL,2007-11-30,2007,Robledal de Dílar
292,Turdus iliacus,2,2070,25,DIL,2007-11-30,2007,Robledal de Dílar
293,Turdus iliacus,7,650,15,DIL,2007-12-12,2007,Robledal de Dílar
294,Garrulus glandarius,1,650,5,DIL,2007-12-12,2007,Robledal de Dílar
295,Turdus merula,2,650,25,DIL,2007-12-12,2007,Robledal de Dílar
296,Turdus merula,1,650,5,DIL,2007-12-12,2007,Robledal de Dílar
297,Turdus merula,1,870,45,DIL,2007-12-12,2007,Robledal de Dílar
298,Turdus merula,1,1490,25,DIL,2007-12-12,2007,Robledal de Dílar
299,Turdus merula,2,2030,15,DIL,2007-12-12,2007,Robledal de Dílar
300,Fringilla coelebs,1,30,5,CAM,2008-03-14,2008,Dehesa del Camarate
301,Parus major,2,160,15,CAM,2008-03-14,2008,Dehesa del Camarate
302,Parus major,1,200,5,CAM,2008-03-14,2008,Dehesa del Camarate
303,Fringilla coelebs,1,274,5,CAM,2008-03-14,2008,Dehesa del Camarate
304,Turdus viscivorus,1,274,5,CAM,2008-03-14,2008,Dehesa del Camarate
305,Parus major,2,290,5,CAM,2008-03-14,2008,Dehesa del Camarate
306,Cyanistes caeruleus,1,290,5,CAM,2008-03-14,2008,Dehesa del Camarate
307,Cyanistes caeruleus,1,480,5,CAM,2008-03-14,2008,Dehesa del Camarate
308,Emberiza cia,1,580,5,CAM,2008-03-14,2008,Dehesa del Camarate
309,Cyanistes caeruleus,2,708,5,CAM,2008-03-14,2008,Dehesa del Camarate
310,Picus viridis,1,760,45,CAM,2008-03-14,2008,Dehesa del Camarate
311,Parus major,2,770,5,CAM,2008-03-14,2008,Dehesa del Camarate
312,Pica pica,1,860,45,CAM,2008-03-14,2008,Dehesa del Camarate
313,Pica pica,2,940,45,CAM,2008-03-14,2008,Dehesa del Camarate
314,Turdus viscivorus,2,980,45,CAM,2008-03-14,2008,Dehesa del Camarate
315,Columba palumbus,1,1240,5,CAM,2008-03-14,2008,Dehesa del Camarate
316,Cyanistes caeruleus,3,1340,15,CAM,2008-03-14,2008,Dehesa del Camarate
317,Cyanistes caeruleus,1,1400,5,CAM,2008-03-14,2008,Dehesa del Camarate
318,Cyanistes caeruleus,3,1470,25,CAM,2008-03-14,2008,Dehesa del Camarate
319,Turdus merula,1,1490,5,CAM,2008-03-14,2008,Dehesa del Camarate
320,Pica pica,2,1550,5,CAM,2008-03-14,2008,Dehesa del Camarate
321,Cyanistes caeruleus,1,1550,5,CAM,2008-03-14,2008,Dehesa del Camarate
322,Turdus merula,1,1680,5,CAM,2008-03-14,2008,Dehesa del Camarate
323,Cyanistes caeruleus,2,1700,15,CAM,2008-03-14,2008,Dehesa del Camarate
324,Parus major,1,1700,5,CAM,2008-03-14,2008,Dehesa del Camarate
325,Fringilla coelebs,1,1720,35,CAM,2008-03-14,2008,Dehesa del Camarate
326,Turdus merula,1,1770,5,CAM,2008-03-14,2008,Dehesa del Camarate
327,Erithacus rubecula,1,1790,5,CAM,2008-03-14,2008,Dehesa del Camarate
328,Parus major,1,1810,5,CAM,2008-03-14,2008,Dehesa del Camarate
329,Turdus merula,1,1870,5,CAM,2008-03-14,2008,Dehesa del Camarate
330,Emberiza cia,2,1960,5,CAM,2008-03-14,2008,Dehesa del Camarate
331,Parus major,1,1960,5,CAM,2008-03-14,2008,Dehesa del Camarate
332,Turdus merula,1,1980,5,CAM,2008-03-14,2008,Dehesa del Camarate
333,Turdus merula,1,2000,5,CAM,2008-03-14,2008,Dehesa del Camarate
334,Parus major,1,2000,5,CAM,2008-03-14,2008,Dehesa del Camarate
335,Turdus viscivorus,2,2100,25,CAM,2008-03-14,2008,Dehesa del Camarate
336,Parus major,1,2210,5,CAM,2008-03-14,2008,Dehesa del Camarate
337,Turdus merula,1,2430,5,CAM,2008-03-14,2008,Dehesa del Camarate
338,Certhia brachydactyla,2,15,5,CAM,2008-03-25,2008,Dehesa del Camarate
339,Fringilla coelebs,1,40,5,CAM,2008-03-25,2008,Dehesa del Camarate
340,Parus major,1,86,5,CAM,2008-03-25,2008,Dehesa del Camarate
341,Turdus viscivorus,1,110,15,CAM,2008-03-25,2008,Dehesa del Camarate
342,Serinus citrinella,1,90,5,CAM,2008-03-25,2008,Dehesa del Camarate
343,Certhia brachydactyla,1,180,5,CAM,2008-03-25,2008,Dehesa del Camarate
344,Phoenicurus ochruros,1,185,15,CAM,2008-03-25,2008,Dehesa del Camarate
345,Pica pica,1,215,5,CAM,2008-03-25,2008,Dehesa del Camarate
346,Pica pica,2,280,5,CAM,2008-03-25,2008,Dehesa del Camarate
347,Phoenicurus ochruros,1,370,15,CAM,2008-03-25,2008,Dehesa del Camarate
348,Alectoris rufa,2,400,15,CAM,2008-03-25,2008,Dehesa del Camarate
349,Parus major,2,420,5,CAM,2008-03-25,2008,Dehesa del Camarate
350,Fringilla coelebs,1,430,5,CAM,2008-03-25,2008,Dehesa del Camarate
351,Serinus serinus,1,460,15,CAM,2008-03-25,2008,Dehesa del Camarate
352,Phoenicurus ochruros,1,470,5,CAM,2008-03-25,2008,Dehesa del Camarate
353,Certhia brachydactyla,1,770,5,CAM,2008-03-25,2008,Dehesa del Camarate
354,Cyanistes caeruleus,2,805,15,CAM,2008-03-25,2008,Dehesa del Camarate
355,Pica pica,3,880,35,CAM,2008-03-25,2008,Dehesa del Camarate
356,Turdus viscivorus,2,1100,15,CAM,2008-03-25,2008,Dehesa del Camarate
357,Turdus viscivorus,1,940,45,CAM,2008-03-25,2008,Dehesa del Camarate
358,Lullula arborea,1,940,45,CAM,2008-03-25,2008,Dehesa del Camarate
359,Turdus merula,1,1100,5,CAM,2008-03-25,2008,Dehesa del Camarate
360,Turdus merula,1,1100,25,CAM,2008-03-25,2008,Dehesa del Camarate
361,Emberiza cia,1,1200,5,CAM,2008-03-25,2008,Dehesa del Camarate
362,Alectoris rufa,2,1300,5,CAM,2008-03-25,2008,Dehesa del Camarate
363,Parus major,1,1530,5,CAM,2008-03-25,2008,Dehesa del Camarate
364,Aegithalos caudatus,1,1570,5,CAM,2008-03-25,2008,Dehesa del Camarate
365,Sitta europaea,1,1570,5,CAM,2008-03-25,2008,Dehesa del Camarate
366,Cyanistes caeruleus,1,1720,5,CAM,2008-03-25,2008,Dehesa del Camarate
367,Certhia brachydactyla,1,1730,5,CAM,2008-03-25,2008,Dehesa del Camarate
368,Turdus merula,1,1740,5,CAM,2008-03-25,2008,Dehesa del Camarate
369,Columba palumbus,1,1850,5,CAM,2008-03-25,2008,Dehesa del Camarate
370,Cyanistes caeruleus,1,1800,5,CAM,2008-03-25,2008,Dehesa del Camarate
371,Columba palumbus,2,1870,5,CAM,2008-03-25,2008,Dehesa del Camarate
372,Parus major,2,2000,15,CAM,2008-03-25,2008,Dehesa del Camarate
373,Turdus merula,1,2080,15,CAM,2008-03-25,2008,Dehesa del Camarate
374,Emberiza cirlus,1,2140,5,CAM,2008-03-25,2008,Dehesa del Camarate
375,Erithacus rubecula,1,2140,5,CAM,2008-03-25,2008,Dehesa del Camarate
376,Erithacus rubecula,1,2400,5,CAM,2008-03-25,2008,Dehesa del Camarate
510,Certhia brachydactyla,2,80,5,GEN,2008-03-13,2008,Cortijo del Hornillo
511,Fringilla coelebs,4,110,15,GEN,2008-03-13,2008,Cortijo del Hornillo
512,Fringilla coelebs,6,160,5,GEN,2008-03-13,2008,Cortijo del Hornillo
513,Alauda arvensis,1,160,5,GEN,2008-03-13,2008,Cortijo del Hornillo
514,Turdus viscivorus,2,320,5,GEN,2008-03-13,2008,Cortijo del Hornillo
515,Lullula arborea,1,405,15,GEN,2008-03-13,2008,Cortijo del Hornillo
516,Fringilla coelebs,2,475,5,GEN,2008-03-13,2008,Cortijo del Hornillo
517,Fringilla coelebs,1,530,5,GEN,2008-03-13,2008,Cortijo del Hornillo
518,Aegithalos caudatus,2,550,5,GEN,2008-03-13,2008,Cortijo del Hornillo
519,Parus major,2,550,5,GEN,2008-03-13,2008,Cortijo del Hornillo
520,Parus major,2,590,15,GEN,2008-03-13,2008,Cortijo del Hornillo
521,Emberiza cia,3,670,5,GEN,2008-03-13,2008,Cortijo del Hornillo
522,Parus major,1,670,5,GEN,2008-03-13,2008,Cortijo del Hornillo
523,Emberiza cia,1,718,5,GEN,2008-03-13,2008,Cortijo del Hornillo
524,Emberiza cia,4,820,5,GEN,2008-03-13,2008,Cortijo del Hornillo
525,Prunella modularis,6,820,5,GEN,2008-03-13,2008,Cortijo del Hornillo
526,Aegithalos caudatus,2,1220,5,GEN,2008-03-13,2008,Cortijo del Hornillo
527,Parus major,1,1270,5,GEN,2008-03-13,2008,Cortijo del Hornillo
528,Phoenicurus ochruros,2,1310,5,GEN,2008-03-13,2008,Cortijo del Hornillo
529,Turdus merula,1,1340,5,GEN,2008-03-13,2008,Cortijo del Hornillo
530,Phoenicurus ochruros,1,1370,5,GEN,2008-03-13,2008,Cortijo del Hornillo
531,Alectoris rufa,2,1620,5,GEN,2008-03-13,2008,Cortijo del Hornillo
532,Garrulus glandarius,1,1660,45,GEN,2008-03-13,2008,Cortijo del Hornillo
533,Cyanistes caeruleus,1,1810,5,GEN,2008-03-13,2008,Cortijo del Hornillo
534,Alectoris rufa,1,1930,5,GEN,2008-03-13,2008,Cortijo del Hornillo
535,Alectoris rufa,2,2130,5,GEN,2008-03-13,2008,Cortijo del Hornillo
536,Turdus viscivorus,1,2130,5,GEN,2008-03-13,2008,Cortijo del Hornillo
537,Certhia brachydactyla,1,2130,5,GEN,2008-03-13,2008,Cortijo del Hornillo
538,Parus major,2,2130,5,GEN,2008-03-13,2008,Cortijo del Hornillo
539,Turdus merula,1,2190,5,GEN,2008-03-13,2008,Cortijo del Hornillo
540,Parus major,1,2260,15,GEN,2008-03-13,2008,Cortijo del Hornillo
541,Cyanistes caeruleus,1,2340,5,GEN,2008-03-13,2008,Cortijo del Hornillo
542,Emberiza cia,3,2370,5,GEN,2008-03-13,2008,Cortijo del Hornillo
543,Fringilla coelebs,1,40,5,GEN,2008-03-26,2008,Cortijo del Hornillo
544,Turdus merula,1,54,5,GEN,2008-03-26,2008,Cortijo del Hornillo
545,Aegithalos caudatus,1,95,5,GEN,2008-03-26,2008,Cortijo del Hornillo
546,Turdus merula,1,110,15,GEN,2008-03-26,2008,Cortijo del Hornillo
547,Fringilla coelebs,1,120,15,GEN,2008-03-26,2008,Cortijo del Hornillo
548,Cyanistes caeruleus,1,100,5,GEN,2008-03-26,2008,Cortijo del Hornillo
549,Serinus serinus,1,145,15,GEN,2008-03-26,2008,Cortijo del Hornillo
550,Fringilla coelebs,1,170,5,GEN,2008-03-26,2008,Cortijo del Hornillo
551,Aegithalos caudatus,1,170,5,GEN,2008-03-26,2008,Cortijo del Hornillo
552,Certhia brachydactyla,1,200,5,GEN,2008-03-26,2008,Cortijo del Hornillo
553,Cyanistes caeruleus,1,275,5,GEN,2008-03-26,2008,Cortijo del Hornillo
554,Fringilla coelebs,2,285,5,GEN,2008-03-26,2008,Cortijo del Hornillo
555,Columba palumbus,2,350,5,GEN,2008-03-26,2008,Cortijo del Hornillo
556,Phoenicurus ochruros,1,410,5,GEN,2008-03-26,2008,Cortijo del Hornillo
557,Turdus viscivorus,2,560,5,GEN,2008-03-26,2008,Cortijo del Hornillo
558,Phoenicurus ochruros,1,560,5,GEN,2008-03-26,2008,Cortijo del Hornillo
559,Phoenicurus ochruros,1,480,5,GEN,2008-03-26,2008,Cortijo del Hornillo
560,Phoenicurus ochruros,1,490,5,GEN,2008-03-26,2008,Cortijo del Hornillo
561,Emberiza cirlus,1,540,5,GEN,2008-03-26,2008,Cortijo del Hornillo
562,Phoenicurus ochruros,1,585,5,GEN,2008-03-26,2008,Cortijo del Hornillo
563,Parus major,1,690,25,GEN,2008-03-26,2008,Cortijo del Hornillo
564,Phoenicurus ochruros,1,740,5,GEN,2008-03-26,2008,Cortijo del Hornillo
565,Phoenicurus ochruros,3,998,5,GEN,2008-03-26,2008,Cortijo del Hornillo
566,Phoenicurus ochruros,1,1050,5,GEN,2008-03-26,2008,Cortijo del Hornillo
567,Phoenicurus ochruros,1,1100,5,GEN,2008-03-26,2008,Cortijo del Hornillo
568,Cyanistes caeruleus,3,1140,5,GEN,2008-03-26,2008,Cortijo del Hornillo
569,Emberiza cia,2,1290,5,GEN,2008-03-26,2008,Cortijo del Hornillo
570,Erithacus rubecula,1,1360,5,GEN,2008-03-26,2008,Cortijo del Hornillo
571,Periparus ater,1,1620,15,GEN,2008-03-26,2008,Cortijo del Hornillo
572,Aegithalos caudatus,3,1620,15,GEN,2008-03-26,2008,Cortijo del Hornillo
573,Erithacus rubecula,1,1820,25,GEN,2008-03-26,2008,Cortijo del Hornillo
574,Cyanistes caeruleus,1,1900,5,GEN,2008-03-26,2008,Cortijo del Hornillo
575,Emberiza cia,2,1940,35,GEN,2008-03-26,2008,Cortijo del Hornillo
576,Parus major,2,2060,5,GEN,2008-03-26,2008,Cortijo del Hornillo
577,Cyanistes caeruleus,1,2075,5,GEN,2008-03-26,2008,Cortijo del Hornillo
578,Cyanistes caeruleus,1,2180,5,GEN,2008-03-26,2008,Cortijo del Hornillo
579,Parus major,1,2190,5,GEN,2008-03-26,2008,Cortijo del Hornillo
580,Emberiza cia,1,2200,5,GEN,2008-03-26,2008,Cortijo del Hornillo
581,Periparus ater,1,2260,5,GEN,2008-03-26,2008,Cortijo del Hornillo
582,Emberiza cia,1,2400,45,GEN,2008-03-26,2008,Cortijo del Hornillo
583,Emberiza cia,1,2420,45,GEN,2008-03-26,2008,Cortijo del Hornillo
584,Parus major,1,10,5,CAN,2008-03-05,2008,Robledal de Cáñar
585,Cyanistes caeruleus,1,190,15,CAN,2008-03-05,2008,Robledal de Cáñar
586,Emberiza cia,1,250,5,CAN,2008-03-05,2008,Robledal de Cáñar
587,Cyanistes caeruleus,3,353,5,CAN,2008-03-05,2008,Robledal de Cáñar
588,Turdus viscivorus,2,490,5,CAN,2008-03-05,2008,Robledal de Cáñar
589,Parus major,1,490,5,CAN,2008-03-05,2008,Robledal de Cáñar
590,Parus major,1,560,15,CAN,2008-03-05,2008,Robledal de Cáñar
591,Cyanistes caeruleus,1,670,5,CAN,2008-03-05,2008,Robledal de Cáñar
592,Cyanistes caeruleus,1,830,15,CAN,2008-03-05,2008,Robledal de Cáñar
593,Aegithalos caudatus,2,1022,15,CAN,2008-03-05,2008,Robledal de Cáñar
594,Parus major,1,1200,15,CAN,2008-03-05,2008,Robledal de Cáñar
595,Cyanistes caeruleus,1,1210,15,CAN,2008-03-05,2008,Robledal de Cáñar
596,Cyanistes caeruleus,1,1200,25,CAN,2008-03-05,2008,Robledal de Cáñar
597,Cyanistes caeruleus,1,1240,5,CAN,2008-03-05,2008,Robledal de Cáñar
598,Turdus merula,1,1350,15,CAN,2008-03-05,2008,Robledal de Cáñar
599,Cyanistes caeruleus,1,1350,15,CAN,2008-03-05,2008,Robledal de Cáñar
600,Cyanistes caeruleus,2,1534,5,CAN,2008-03-05,2008,Robledal de Cáñar
601,Cyanistes caeruleus,1,1710,5,CAN,2008-03-05,2008,Robledal de Cáñar
602,Cyanistes caeruleus,1,1850,15,CAN,2008-03-05,2008,Robledal de Cáñar
603,Sitta europaea,1,1850,35,CAN,2008-03-05,2008,Robledal de Cáñar
604,Cyanistes caeruleus,1,1920,25,CAN,2008-03-05,2008,Robledal de Cáñar
605,Cyanistes caeruleus,2,2070,25,CAN,2008-03-05,2008,Robledal de Cáñar
606,Cyanistes caeruleus,1,2225,5,CAN,2008-03-05,2008,Robledal de Cáñar
607,Cyanistes caeruleus,1,2230,5,CAN,2008-03-05,2008,Robledal de Cáñar
608,Cyanistes caeruleus,1,2410,15,CAN,2008-03-05,2008,Robledal de Cáñar
609,Cyanistes caeruleus,1,2480,5,CAN,2008-03-05,2008,Robledal de Cáñar
610,Cyanistes caeruleus,1,70,15,CAN,2008-03-11,2008,Robledal de Cáñar
611,Parus major,1,160,5,CAN,2008-03-11,2008,Robledal de Cáñar
612,Cyanistes caeruleus,2,210,5,CAN,2008-03-11,2008,Robledal de Cáñar
613,Turdus merula,1,320,35,CAN,2008-03-11,2008,Robledal de Cáñar
614,Aegithalos caudatus,1,380,5,CAN,2008-03-11,2008,Robledal de Cáñar
615,Aegithalos caudatus,1,495,5,CAN,2008-03-11,2008,Robledal de Cáñar
616,Cyanistes caeruleus,1,495,45,CAN,2008-03-11,2008,Robledal de Cáñar
617,Parus major,1,495,45,CAN,2008-03-11,2008,Robledal de Cáñar
618,Garrulus glandarius,1,590,25,CAN,2008-03-11,2008,Robledal de Cáñar
619,Cyanistes caeruleus,2,615,15,CAN,2008-03-11,2008,Robledal de Cáñar
620,Cyanistes caeruleus,1,680,5,CAN,2008-03-11,2008,Robledal de Cáñar
621,Emberiza cia,1,680,15,CAN,2008-03-11,2008,Robledal de Cáñar
622,Alauda arvensis,4,710,15,CAN,2008-03-11,2008,Robledal de Cáñar
623,Cyanistes caeruleus,1,860,5,CAN,2008-03-11,2008,Robledal de Cáñar
624,Cyanistes caeruleus,1,860,25,CAN,2008-03-11,2008,Robledal de Cáñar
625,Cyanistes caeruleus,2,960,5,CAN,2008-03-11,2008,Robledal de Cáñar
626,Cyanistes caeruleus,3,1000,15,CAN,2008-03-11,2008,Robledal de Cáñar
627,Parus major,1,1000,15,CAN,2008-03-11,2008,Robledal de Cáñar
628,Alectoris rufa,2,1170,15,CAN,2008-03-11,2008,Robledal de Cáñar
629,Fringilla coelebs,2,1170,35,CAN,2008-03-11,2008,Robledal de Cáñar
630,Cyanistes caeruleus,1,1200,15,CAN,2008-03-11,2008,Robledal de Cáñar
631,Cyanistes caeruleus,3,1220,15,CAN,2008-03-11,2008,Robledal de Cáñar
632,Cyanistes caeruleus,2,1320,15,CAN,2008-03-11,2008,Robledal de Cáñar
633,Parus major,2,1320,25,CAN,2008-03-11,2008,Robledal de Cáñar
634,Cyanistes caeruleus,3,1340,15,CAN,2008-03-11,2008,Robledal de Cáñar
635,Sitta europaea,2,1340,5,CAN,2008-03-11,2008,Robledal de Cáñar
636,Picus viridis,2,1340,5,CAN,2008-03-11,2008,Robledal de Cáñar
637,Cyanistes caeruleus,2,1450,25,CAN,2008-03-11,2008,Robledal de Cáñar
638,Cyanistes caeruleus,2,1500,5,CAN,2008-03-11,2008,Robledal de Cáñar
639,Cyanistes caeruleus,1,1500,35,CAN,2008-03-11,2008,Robledal de Cáñar
640,Parus major,2,1560,15,CAN,2008-03-11,2008,Robledal de Cáñar
641,Turdus merula,1,1650,35,CAN,2008-03-11,2008,Robledal de Cáñar
642,Cyanistes caeruleus,2,1650,25,CAN,2008-03-11,2008,Robledal de Cáñar
643,Cyanistes caeruleus,2,1740,15,CAN,2008-03-11,2008,Robledal de Cáñar
644,Cyanistes caeruleus,3,1850,15,CAN,2008-03-11,2008,Robledal de Cáñar
645,Cyanistes caeruleus,2,2000,15,CAN,2008-03-11,2008,Robledal de Cáñar
646,Cyanistes caeruleus,2,2040,15,CAN,2008-03-11,2008,Robledal de Cáñar
647,Parus major,2,2190,25,CAN,2008-03-11,2008,Robledal de Cáñar
648,Sitta europaea,1,2250,25,CAN,2008-03-11,2008,Robledal de Cáñar
649,Cyanistes caeruleus,2,2270,15,CAN,2008-03-11,2008,Robledal de Cáñar
650,Parus major,1,2340,25,CAN,2008-03-11,2008,Robledal de Cáñar
651,Parus major,2,2460,25,CAN,2008-03-11,2008,Robledal de Cáñar
725,Emberiza cia,1,30,5,DIL,2008-03-03,2008,Robledal de Dílar
726,Emberiza cia,1,30,25,DIL,2008-03-03,2008,Robledal de Dílar
727,Aegithalos caudatus,3,115,5,DIL,2008-03-03,2008,Robledal de Dílar
728,Cyanistes caeruleus,2,190,5,DIL,2008-03-03,2008,Robledal de Dílar
729,Parus major,2,230,25,DIL,2008-03-03,2008,Robledal de Dílar
730,Periparus ater,1,250,15,DIL,2008-03-03,2008,Robledal de Dílar
731,Emberiza cia,1,250,5,DIL,2008-03-03,2008,Robledal de Dílar
732,Turdus viscivorus,4,300,15,DIL,2008-03-03,2008,Robledal de Dílar
733,Fringilla coelebs,1,310,35,DIL,2008-03-03,2008,Robledal de Dílar
